Name,Symbol,Identifier
Bathroom,backport.shower.fill,bathroom
Cloths,tshirt.fill,cloths
Household,house.fill,household
School,graduationcap.fill,school
Office,desktopcomputer,office
Transport,bicycle,transport
Activities,flame.fill,activities
Animals,pawprint.fill,animals
Human,person.fill,human
Food & Drinks,fork.knife,food
Health,stethoscope,health
Leisure,dice.fill,leisure
Music,music.note,music
Nature,leaf.fill,nature
Digital & Apps,at,digital
Objects & Things,hammer.fill,objects
Symbols,number,symbols
