Symbol,Name,Code,Status,Category,File,Features,Alias,Source,Source Link,Deprecated
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/custom.reminders.22x.png,Reminders,custom.reminders,Released,Productivity,SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/custom.reminders.svg,"Color, Hierarchical, Weights",,Leo,,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/custom.ball2x.png,Ball,custom.ball,Released,Sport,SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/custom.ball.svg,"Hierarchical, Weights","Football, Soccer, Basketball",Flaticon,https://www.flaticon.com/de/kostenloses-icon/fussball_731944,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/custom.cat2x.png,Cat,custom.cat,Released,Animals,SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/custom.cat.svg,,,Noun Project,https://thenounproject.com/icon/cat-158940/,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/custom.chemistry2x.png,Chemistry,custom.chemistry,Released,School,SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/custom.chemistry.svg,"Hierarchical, Weights",,Noun Project,https://thenounproject.com/icon/chemistry-465889/,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/custom.cooking2x.png,Cooking,custom.cooking,Released,Kitchen,SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/custom.cooking.svg,,,Flaticon,https://www.flaticon.com/free-icon/chef_483841,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/pawprint.fill2x.png,Paw,custom.dog,Released,Animals,,Hierarchical,,System,,custom.dog
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/custom.dumbbell2x.png,Dumbbell,custom.dumbbell,Released,Sport,SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/custom.dumbbell.svg,Hierarchical,,Flaticon,https://www.flaticon.com/free-icon/dumbbell_563828,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/custom.shower2x.png,Shower,custom.shower,Released,Bathroom,SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/custom.shower.svg,,,Flaticon,https://www.flaticon.com/free-icon/shower_2425854,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/custom.toothbrush2x.png,Toothbrush,custom.toothbrush,Released,Bathroom,SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/custom.toothbrush.svg,Hierarchical,,Noun Project,https://thenounproject.com/icon/toothbrush-3568130/,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/custom.hairdryer2x.png,Hairdryer,custom.hairdryer,Released,Bathroom,SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/custom.hairdryer.svg,Hierarchical,,Flaticon,https://www.flaticon.com/free-icon/hair-dryer_3144915,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/custom.language2x.png,Language,custom.language,Released,School,SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/custom.language.svg,"Hierarchical, Weights",,Unknown,,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/custom.lipstick2x.png,Lipstick,custom.lipstick,Released,Bathroom,SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/custom.lipstick.svg,,,Flaticon,https://www.flaticon.com/free-icon/lipstick_26441,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/custom.razor2x.png,Razor,custom.razor,Released,Bathroom,SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/custom.razor.svg,,,Noun Project,https://thenounproject.com/icon/razor-2431053/,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/custom.sit2x.png,Sitting,custom.sit,Released,Humans,SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/custom.sit.svg,Hierarchical,,Leo,,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/custom.walk2x.png,Walking,figure.walk,Released,Humans,,"Hierarchical, Weights",,System,,custom.walk
