label,text
airplane,ASHLEY VACATION
airplane,Aeropuerto 
airplane,Airport
airplane,Airport 
airplane,Andalousie
airplane,Anglais 
airplane,Apply to ABA & Valley Consulting 👼🏼
airplane,Apresentação PPS
airplane,Arrive at the hotel
airplane,BCN - MAD
airplane,BCN - MAD (IB3015)
airplane,Before book flight details 
airplane,Beta打ISO
airplane,Blusen zurück
airplane,Book flight and hotel
airplane,Book flights to Svalbard
airplane,Book round trip to BVT
airplane,Buy flying tickets PL <-> TFS
airplane,Check For Flights
airplane,Cheer practice
airplane,Crucero Royal Caribbean 
airplane,DO packen
airplane,Disneyland trip
airplane,EMAIL SPIRIT AIRLINES CAUSE THEY SUCK ASS
airplane,FA FLICA Opens
airplane,Flight home 
airplane,Flight to FL
airplane,Flight to Lagos
airplane,"Flight to Santo Domingo, DR"
airplane,Flight to Singapore
airplane,Flight to Tpa
airplane,Flug
airplane,Flug buchen
airplane,Fly to LA
airplane,Go to airport
airplane,Gym prep
airplane,HR paperwork @airport
airplane,Halim Perdanakusuma
airplane,Holiday!
airplane,InfoComm 2022 Las Vegas
airplane,Italientripp buchen
airplane,LAS ✈️ SFO
airplane,LIM - TPP (Vuelo)
airplane,LSU 
airplane,Leave!
airplane,Llegan Pa y Ma
airplane,MAD - LIM
airplane,MAD - LIM (IB6659)
airplane,Mardi Gras Break
airplane,Meet my friends 🥳
airplane,Melissa Jackson: ATL-SLC for EPIC Experience     Flight# 390     CONF# HLNXG9
airplane,Miami
airplane,Mmx Mark 
airplane,New York 
airplane,Ordenar Cosas Viaje
airplane,Orlando Trip
airplane,Pack John Up
airplane,Parigi 
airplane,Paris
airplane,Personal: Rebook SG Flight
airplane,Phillip Island 
airplane,Pick up Nat & B from Airport
airplane,Pick up mom
airplane,Resume + LinkedIn
airplane,Ryan air
airplane,Réunion info mobilité internationale 
airplane,STYLOS
airplane,Seattle for Work
airplane,Spring Break
airplane,Spring Recess
airplane,Supply chain analysis
airplane,Switzerland
airplane,TRAINING
airplane,Tenerife
airplane,Travel and Tourism
airplane,Update Iceland trip
airplane,Vacation prep
airplane,Viaje pucon
airplane,Voxy
airplane,Wziąć urlop do PL 
airplane,YYZ to IAD
airplane,agenzia di viaggi x stage 
airplane,disney planning
airplane,flug 
airplane,ortisei  
airplane,suriname!
airplane,walk to mac + change
airplane,Английский
airplane,Английский 
airplane,Таргетолог с нуля: 10 модуль
airplane,ส่งงานให้สาวบิว📝
airplane,約beta打ISO
alarm.fill, 
alarm.fill, alarm 
alarm.fill,10:30 wakeup 
alarm.fill,7 wakeup 
alarm.fill,7-9 wakeup 
alarm.fill,8am awake 
alarm.fill,AWAKE
alarm.fill,Acordar
alarm.fill,Acordar
alarm.fill,Acordar!
alarm.fill,Alarm
alarm.fill,Anise Work
alarm.fill,Arbeiten
alarm.fill,Arrumar a cama
alarm.fill,Asar 
alarm.fill,Aufstehen
alarm.fill,Aufstehen 
alarm.fill,Aufstehen !
alarm.fill,Aufstehen und fertig machen
alarm.fill,Aufstehen 🙋🏼‍♀️
alarm.fill,Aufstehen 🚀
alarm.fill,Aufstehen!
alarm.fill,Aufwachen
alarm.fill,Aufwachen 
alarm.fill,Aufwachen 🌞
alarm.fill,Aufwachen 🥱
alarm.fill,Aufwachen!
alarm.fill,Aufwachen!
alarm.fill,"Aufwachen! Duschen, Gesicht waschen, anziehen"
alarm.fill,"Aufwachen! Zähne putzen, anziehen … "
alarm.fill,Aufwachen!🌞
alarm.fill,Aufwachen💕
alarm.fill,Bangun
alarm.fill,Bangun!
alarm.fill,Bon matin!
alarm.fill,Bon matin!!
alarm.fill,Bonan matenon!
alarm.fill,Bonjour
alarm.fill,Bonjour !
alarm.fill,Bonjour !
alarm.fill,Bonjour !☀️
alarm.fill,Boosterimpfung?
alarm.fill,Break
alarm.fill,Budíček
alarm.fill,Buna dimineata ☀️
alarm.fill,Buđenje!
alarm.fill,Buđenje!⏰
alarm.fill,Büro!
alarm.fill,Camri’s shower 11:00 Wake up! Study water
alarm.fill,"Check New Hours with work and remind I need the 14th off. Check bonus is correct and if it is, check super"
alarm.fill,Check messages 📱
alarm.fill,Check stuff with work
alarm.fill,Check weekly time detail 
alarm.fill,Check work schedule
alarm.fill,DEBOUT ETTENNA 😍
alarm.fill,Debout !
alarm.fill,Desperteu-vos!
alarm.fill,Despierta!
alarm.fill,Despierta!
alarm.fill,Despierta!☀️
alarm.fill,Despiértate hermosa
alarm.fill,Dispatch Auchan Boulogne
alarm.fill,Do makeup 
alarm.fill,Décompte drop 
alarm.fill,Départ
alarm.fill,Eat lunch 
alarm.fill,Emails & Catching Up
alarm.fill,Emma wecken
alarm.fill,Enjoy Your Breakfast😻😋
alarm.fill,Escola
alarm.fill,Estudar 
alarm.fill,Exam 1
alarm.fill,Fajr
alarm.fill,Focused Work
alarm.fill,GOOD MORNING🌞
alarm.fill,Gaz eau pétillante
alarm.fill,Get Elijah dressed for school
alarm.fill,Get out of bed
alarm.fill,Get ready
alarm.fill,Get ready for school
alarm.fill,Get ready to leave
alarm.fill,Get up and get ready for fitness clothes  
alarm.fill,Get up!
alarm.fill,Get up!
alarm.fill,Go to sleep💗
alarm.fill,God morgon!
alarm.fill,Good Morning :)
alarm.fill,Good Morning 🌷
alarm.fill,Good morning 💜
alarm.fill,Good morning!
alarm.fill,Guten Morgen
alarm.fill,Gå upp
alarm.fill,HELLO QUEEN😍
alarm.fill,Happy Rising!
alarm.fill,Herätys
alarm.fill,Herätys!
alarm.fill,Homework Break
alarm.fill,Hora de Acordar!
alarm.fill,Hora de Acordar!
alarm.fill,II sesja nauki
alarm.fill,Incentive💗✨
alarm.fill,LearningZen Work Course
alarm.fill,Life Organization: print out schedules
alarm.fill,Los  Schraderstr. 11. Randstad
alarm.fill,Los  zu Schraderstr. 11. Randstad
alarm.fill,Lève-toi!
alarm.fill,MORNING
alarm.fill,Magrib 
alarm.fill,Make Class Alarms
alarm.fill,Maschera 
alarm.fill,Meditatie!
