label,text
airplane,STYLOS
alarm.fill,Desperteu-vos!
alarm.fill,Good morning 💜
bag.fill,Fer bossa
bed.double.fill,Fer el llit
book.fill, llegir llibres sunion (focus to-do)
book.fill,Llegir
book.fill,Llegir MMCAP
custom.dog,gabia nala
custom.toothbrush,dents
desktopcomputer,Comentari Història 
drop.fill,Llavaora
eyeglasses,estudiar història
flag.fill,fer llit
heart.fill,resum llatí
house.fill,endreçar habitació
mdi.bus,CAP A CASA!
mdi.couch,descans
mdi.school,Cena chicas 
mdi.school,estudiar  (focus to-do)
noun.coffee,esmorzar
noun.meal,DUTXA I SOPAR
noun.meal,dinar
noun.meal,dinar+tele
noun.meal,sopar 
paintbrush.pointed.fill,Presentació H. d’Art
signature,diners
sun.max.fill,Estendre roba
sun.max.fill,sortir a fora
tram.fill,Fer maleta culle
wand.and.stars,Netejar cuina
