label,text
airplane,Blusen zurück
airplane,DO packen
airplane,Flug
airplane,Flug buchen
airplane,Italientripp buchen
airplane,Paris
airplane,Switzerland
airplane,flug 
alarm.fill, 
alarm.fill,Arbeiten
alarm.fill,Aufstehen
alarm.fill,Aufstehen 
alarm.fill,Aufstehen !
alarm.fill,Aufstehen und fertig machen
alarm.fill,Aufstehen 🙋🏼‍♀️
alarm.fill,Aufstehen 🚀
alarm.fill,Aufstehen!
alarm.fill,Aufwachen
alarm.fill,Aufwachen 
alarm.fill,Aufwachen 🌞
alarm.fill,Aufwachen 🥱
alarm.fill,Aufwachen!
alarm.fill,"Aufwachen! Duschen, Gesicht waschen, anziehen"
alarm.fill,"Aufwachen! Zähne putzen, anziehen … "
alarm.fill,Aufwachen!🌞
alarm.fill,Aufwachen💕
alarm.fill,Boosterimpfung?
alarm.fill,Büro!
alarm.fill,Emma wecken
alarm.fill,Guten Morgen
alarm.fill,Los  Schraderstr. 11. Randstad
alarm.fill,Los  zu Schraderstr. 11. Randstad
alarm.fill,Vertragsunterzeichnung 
alarm.fill,Wach werden!
alarm.fill,Wake up 
alarm.fill,Wake up ☀️
alarm.fill,Wake up!
alarm.fill,Waking up
alarm.fill,Wecker
alarm.fill,aufstehen
alarm.fill,aufstehen 
alarm.fill,aufwachen
alarm.fill,aufwachen!
alarm.fill,get up & ready
alarm.fill,get up 🌤
alarm.fill,✨r i s e   a n d   s h i n e✨
ant.fill,Garnelen füttern
ant.fill,Kino SpiderMan
ant.fill,QA Synch
archivebox.fill,Aufräumen
archivebox.fill,Aufräumen 
archivebox.fill,Einkaufsliste (Messe) vervollständigen
archivebox.fill,Jogginghose entscheiden 
archivebox.fill,Sachen von Levin holen
archivebox.fill,Schrank aufräumen
archivebox.fill,Schultasche 
archivebox.fill,Schulzeug sortieren
archivebox.fill,Staubsaugen
archivebox.fill,Staubsaugen und Müll rausbringen
archivebox.fill,Stufengeld zusammenzählen
archivebox.fill,Tasche packen
archivebox.fill,Wäsche in den Trockner
archivebox.fill,Wäsche machen 
archivebox.fill,Wäsche waschen
archivebox.fill,Wäsche waschen 
archivebox.fill,Zimmer
archivebox.fill,Zimmer aufräumen 
archivebox.fill,Zimmerinhalt in Wohnzimmer räumen 
archivebox.fill,aufräumen 
archivebox.fill,sachen ordnen
