label,text
airplane,Aeropuerto 
airplane,BCN - MAD
airplane,BCN - MAD (IB3015)
airplane,LIM - TPP (Vuelo)
airplane,MAD - LIM
airplane,MAD - LIM (IB6659)
airplane,Ordenar Cosas Viaje
airplane,Viaje pucon
airplane,Voxy
alarm.fill,Despierta!
alarm.fill,Despierta!☀️
alarm.fill,Despiértate hermosa
alarm.fill,Programar post Lightglass
alarm.fill,Programar post Ollin
alarm.fill,Wake up
alarm.fill,Wake up!
alarm.fill,hay que levantarse
alarm.fill,wake up!
alarm.fill,¡Despertar
alarm.fill,¡Despierta!
alarm.fill,¡despierta!
ant.fill,"Finish the activities on pg 56-57 Watch the two videos (App Guarda) on pg 116 and 119,; then read the pages 116,117,118 and 119 and summarize the main facts using a chart (se pg 506) for each sovereign; use the chart to report on the Restoration of the Monarchy, The Glorious Revolution, Queen Anne, The early Hanoverians"
archivebox.fill,Buhardilla 
archivebox.fill,Ordenar 
archivebox.fill,Organiza apuntes
arrow.3.trianglepath,Limpiar cocina
arrow.3.trianglepath,Reciclables
arrow.merge,Lancha al Hotel Sauce Resort
arrow.merge,Yoga
at,Contestar Emails
at,Contestar Jose A.
at,Recoger
at,Responder Emails
at,gracias
atom,Biología 
atom,Clase psicofarmacología
atom,Entrenamiento cerebral 
atom,Estudiar física y química
atom,Meditar 🧘🏼‍♀️ 
atom,Repaso termodinámica 
atom,biología
atom,resumos química 
bag.fill,Alistar cosas
bag.fill,Descanso laboral 1h30
bag.fill,Enviar pieza 
bag.fill,Ir a comprar
bag.fill,Ir por el mandado
bag.fill,Madrid
bag.fill,Ordenar compras
bag.fill,Papel de trabajo PLD
bag.fill,Recoger equipaje
bag.fill,Shein
bag.fill,Supermercado
bag.fill,Trabajar
bag.fill,Trabajar 
bag.fill,anar a comprar
bag.fill,la vital
bag.fill,need to buy
bandage.fill,Arco y flecha
bandage.fill,Oculista
bandage.fill,inyección trimestral 
battery.25,Relajarme 
bed.double.fill,Asearse en el hotel
bed.double.fill,Asearse y descansar en el hotel
bed.double.fill,Aseo pieza Julieta 
bed.double.fill,Cambiar sábanas
bed.double.fill,Cambiarse en el hotel
bed.double.fill,Hotel Flamante
bed.double.fill,Hotel Flamante (check-in)
bed.double.fill,Hotel Flamante y Suite (check-in)
bed.double.fill,Hotel Flamante y Suite (check-out)
bed.double.fill,Hotel Mirador Center (check-in)
bed.double.fill,Hotel Mirador Center (check-out)
