label,text
alarm.fill,Wake up!
alarm.fill,بیدار شو!
book.fill,ریاضی
car.fill,رانندگی به محل کار
custom.cooking,صبحانه
custom.cooking,ناهار
custom.dumbbell,ورزش
custom.language,زبان
custom.shower,حمام
custom.toothbrush,مسواک
drop.fill,حمام
figure.walk,پیاده روی
globe,زبان
heart.fill,میان وعده
leaf.fill,رسیدگی به گل ها
mdi.couch,استراحت
moon.fill,Sleep Well!
moon.fill,خواب
moon.fill,خوب بخوابی!
noun.coffee,صبحانه
noun.meal,تغذیه
noun.meal,شام
paintbrush.pointed.fill,نقاشی
pencil.and.outline,تکلیف
person.3.fill,شروع کار اول روز
phone.fill,تماس با بانک ملت
pills.fill,علوم
sunrise.fill,بیدارشو
tv.fill,جغرافیا
tv.fill,درس های مدرسه
