label,text
airplane,Tukholmaan
alarm.fill,Good Morning
alarm.fill,Good Morning 💕
alarm.fill,Good Morning 🤍
alarm.fill,Herätys
alarm.fill,Herätys!
alarm.fill,Wake up!
alarm.fill,herätys
alarm.fill,herätys!
alarm.fill,⏰  = Rästihommia / Aikataulumuuttujia varten bufferi
archivebox.fill,Pakkaus
at,Katso koulukirjat netistä valmiiksi
at,Soita/sposti staffpointille hyllytysvuoroista
at,Vastaa Sähköposteihin/viestiin postiin
at,Yhteys harkkapaikkaan
bag.fill,Hacer maleta para la playa
bag.fill,Kauppa
bag.fill,Töitä
bag.fill,kassin pakkaaminen
bandage.fill,lääkäri
battery.25,Koe harjoittelu!!!
battery.25,Koe harjottelu
bed.double.fill,Felix päikkärit
bed.double.fill,Herätys!
bed.double.fill,Petaa sänky
bell.fill,Iltapala ja jouluvalmistelut
bitcoinsign.circle.fill,Maksa futis
bitcoinsign.circle.fill,Nordnet
bitcoinsign.circle.fill,Tise myyntiin
bolt.car.fill,Kisa
bolt.car.fill,Työmatka
book.fill,Ena9
book.fill,Historia
book.fill,Historian tehtävät
book.fill,Iltapala
book.fill,Kirjasto
book.fill,Kokeeseen lukua
book.fill,Kokous
book.fill,Koulu
book.fill,Lue
book.fill,Lue Kirjaa
book.fill,Lue kirjaa
book.fill,Lukemista
book.fill,Läksyt
book.fill,Opiskele
book.fill,Opiskele 📚⚗️
book.fill,Opiskelua
book.fill,Ruotsi
book.fill,Talouspolitiikka
book.fill,Yhteishengaus
book.fill,Yhteislukeminen
book.fill,kirjan lukeminen
book.fill,lue bilsaa
book.fill,läksyt
book.fill,school
book.fill,study
book.fill,työt
briefcase.fill,Check:
briefcase.fill,Etsi töitä
briefcase.fill,Hae töitä
briefcase.fill,Omaohjattavien n-asemat ja kansiot
briefcase.fill,Työt
briefcase.fill,Töissä
briefcase.fill,Valmistaudu
briefcase.fill,Work Appointment
briefcase.fill,koulujutut
briefcase.fill,työvalmistelut
calendar,Sunnuntain iltakoonti
calendar,koulu
calendar,kouluhommia
calendar,planning
car.fill,..
car.fill,Espooseen
car.fill,Pakkaa
car.fill,Työ
car.fill,Työmatka
car.fill,autokoulu
car.fill,back to home
car.fill,duuniin
car.fill,hae lumilauta
car.fill,kotiin
car.fill,mamalle
car.fill,matka lääkäriin
car.fill,salille
car.fill,töihin
cart.fill,Kauppa
cart.fill,Kauppaan
cart.fill,Millan kanssa kauppohin
cart.fill,"Paasi-Optiikka, M&M"
cart.fill,Shopping
cart.fill,kauppaan
chart.bar.fill,Punnitus
chart.pie.fill,1-2-3-4
cloud.fill,Kysy Tehtävä 5
cloud.fill,Shopping
cloud.fog.fill,Aamutoimet
cloud.snow.fill,ulos
comb.fill,Aamutoimet
comb.fill,Hiusnaamio & pesu
comb.fill,get ready
comb.fill,iskän hiustenleikkuu
custom.ball,PLG-turnaus
custom.ball,Peli
custom.ball,Valmistelut ja lähtö
custom.ball,keilaus
custom.cat,Eläinlääkäri
custom.cat,cats
custom.chemistry,Lääketentit
custom.chemistry,Tee peruslabra tehtävät
custom.cooking,Granolaa
custom.cooking,Joku ruoka
custom.cooking,Lounastauko
custom.cooking,Ruoan laitto
custom.cooking,Ruoka
custom.cooking,cooking
custom.cooking,mealprep
custom.dog,Koirien ruokinta
custom.dog,Koirien ulkoilutus
custom.dog,Lenkille
custom.dog,Lenkki
custom.dog,S. yksinolotreeni
custom.dog,romeon aamulenkki
custom.dog,vie martta
custom.dumbbell,Gym
custom.dumbbell,HIIT
custom.dumbbell,Jalkatreeni
custom.dumbbell,Jooga
custom.dumbbell,Kokovartalo treeni
custom.dumbbell,Kuntosali
custom.dumbbell,Kuntosalille/Jenna
custom.dumbbell,Käsitreeni
custom.dumbbell,Liiku!
custom.dumbbell,Omatoimitreeni
custom.dumbbell,Reenit
custom.dumbbell,Sali
custom.dumbbell,Salille
custom.dumbbell,Treeni
custom.dumbbell,Treeni (bb)
custom.dumbbell,Treeni sb w
custom.dumbbell,Treeni sbw
custom.dumbbell,Treeni sbw ja la
custom.dumbbell,Treenit
custom.dumbbell,Yläkroppa
custom.dumbbell,aamutreeni
custom.dumbbell,bb treeni
custom.dumbbell,bp treeni
custom.dumbbell,gym
custom.dumbbell,sali
custom.dumbbell,treenaamaan
custom.dumbbell,treeni
custom.hairdryer,Pese hiukset
custom.language,Finska
custom.language,luku f
custom.lipstick,Laittaudu
custom.lipstick,"Meikkaa, Pue"
custom.lipstick,Meikkaus
custom.razor,Iltatoimet
custom.razor,Uni
custom.shower,Aamutoimet
custom.shower,Babyn kylpy
custom.shower,Beauty regime
custom.shower,Iltapesut 🧼🪥
custom.shower,Iltatoimet
custom.shower,Kasvot
custom.shower,Purut
custom.shower,Suihku
custom.shower,Suihku ja kyykyt
custom.shower,suihku
custom.shower,suihku ja sauna
custom.toothbrush,Aamupesut 🧼🪥
custom.toothbrush,Aamurutiinit
custom.toothbrush,Aamutoimet
custom.toothbrush,Hammaslääkäri
custom.toothbrush,Hammaspesu
custom.toothbrush,Iltahommat
custom.toothbrush,Iltatoimet
custom.toothbrush,Pese hampaat
desktopcomputer,Netflix
desktopcomputer,Prospektointi
desktopcomputer,SSO
desktopcomputer,Sisältöjä 🤓📚📺📻
desktopcomputer,Työ
desktopcomputer,autokoulu
desktopcomputer,lue tutkinnon perusteet
desktopcomputer,läppäri valmiiksi
desktopcomputer,neda
desktopcomputer,oppimisen kartoitus
desktopcomputer,seure
desktopcomputer,starttitapahtuma
desktopcomputer,tarkisa s posti
desktopcomputer,tarkista restel sopimus
desktopcomputer,tee oppimiskartoituts
doc.fill,Historia
doc.fill,Koulu Hommat Kotona
doc.fill,Opiskelu
doc.fill,Töitä
dollarsign.circle.fill,Työt
drop.fill,Aamupala
envelope.fill,Kela Clarification of Attendance
figure.walk,..
figure.walk,Aerobinen + vatsat
figure.walk,Koulumatka
figure.walk,Kävely
figure.walk,Pianotunnille
figure.walk,duuniin
figure.walk,kotia
figure.walk,kotiin
figure.walk,salille
flame.fill,Aamupaino
flame.fill,RW Challenge 2022
flame.fill,Sali
flame.fill,gems
folder.fill,Hakemus KELA:an
gearshape.2.fill,Tee vaikeimmat työt
gearshape.2.fill,Työt
globe,Haastattelu
hammer.fill,Erityistä huomioitavaa:…
hammer.fill,Hieronta @Silja
hand.raised.fill,Jooga
hand.raised.fill,Tauko
hand.raised.fill,kerää kamat!
hand.thumbsup.fill,vaatteiden miettiminen
hare.fill,Kassu treeniohjelma loppuun
heart.fill,Juhon kaa
heart.fill,Koulua
heart.fill,Niinatar
heart.fill,Posteri
heart.fill,Projekt X
heart.fill,Reggaerekka
heart.fill,Sonjan synttärit
heart.fill,Tee jotain rentouttavaa töiden jälkeen
heart.fill,Valentine Day Nails
heart.fill,Vanessa hoitoon
heart.fill,Vapaa
heart.fill,Venyttele
heart.fill,Yhteishengaus
heart.fill,kävely
heart.fill,meikki
heart.fill,ripset
heart.fill,ripsihuolto
heart.fill,spatime✨
heart.fill,työt
hourglass,Peru Ulysses
hourglass,Treeneihin valmistautuminen
house.fill,"AT, SO, AJ check 1x kk"
house.fill,Asuntonäyttö
house.fill,Dosetti
house.fill,Iltatoimet
house.fill,Kotiin
house.fill,Kotiinpaluu
house.fill,Lajittele pyykit
house.fill,Mökki
house.fill,Siivoa
house.fill,Tiskit 🧽
house.fill,eti luistimet
house.fill,kamat huomiselle
house.fill,pyykit
house.fill,pyykkiä
house.fill,tarjalle joulupukkikamat
house.fill,tavarat valmiiksi lääkäriin
keyboard,Täydennä CV
keyboard,Töitä
leaf.fill,Kastele kasvit
lightbulb.fill,AT PEG VAIHTO
lightbulb.fill,Muu sähläys
magnifyingglass,Aamupaino
mdi.airplane.takeoff,Tomi reissussa
mdi.alcohol,Aamupala
mdi.alcohol,"Juo vettä 0,5l"
mdi.alcohol,Tuparit
mdi.bus,..
mdi.bus,Kotiin!
mdi.bus,bussi helsinkiin
mdi.bus,bussi kotiin
mdi.bus,bussi kuntosalille
mdi.bus,bussi töihin
mdi.bus,duuniin
mdi.bus,koululle
mdi.couch,Vapaa-aikaa
mdi.instagram,Instagram
mdi.instagram,Reels
mdi.instagram,puhelimen järjestys
mdi.mountain,Laskettelu
mdi.mountain,Ympäristöoppi
mdi.mountain,kiipeily
mdi.pharmacy,Lääkäri
mdi.relax,Aloita uniterapia
mdi.relax,Iltalenkki
mdi.relax,Iltalenkki & kauppa
mdi.relax,Jooga
mdi.relax,Luovaa tekemistä
mdi.relax,Omaa aikaa
mdi.relax,Silmulle ruoka
mdi.relax,siivous
mdi.running,Cardio 🏃🏸🥊
mdi.running,Elixia maksu
mdi.running,Hiihto
mdi.running,Juoksu
mdi.running,Kepparitreeni
mdi.running,Kiipeily
mdi.running,Kirjastolle
mdi.running,Kyykkä
mdi.running,Lenkki 5km
mdi.running,Treenit
mdi.school,AML tenttiin luku
mdi.school,Aine 1 -cnc
mdi.school,Alota psykaa
mdi.school,CAD
mdi.school,Gradu-luento
mdi.school,Kandiesittelykerta
mdi.school,Kestävä kehitys -luento
mdi.school,Koulu
mdi.school,Koulua
mdi.school,Koulua 8-14.30
mdi.school,Laita koulukamat valmiiksi
mdi.school,Leikkauspiirrokset
mdi.school,Lue kandit
mdi.school,Luento
mdi.school,Luento 2
mdi.school,Maisukurssi
mdi.school,Melting Pot of Entrepreneurial Competencies
mdi.school,Opiskele
mdi.school,PAMU: Kysely
mdi.school,Proseminaari
mdi.school,Puukurssi -4
mdi.school,Puukurssi -4&5
mdi.school,RIB exam
mdi.school,RIB tentti
mdi.school,Responsible international business
mdi.school,Saksa
mdi.school,Studio B
mdi.school,Talon portfolio?
mdi.school,Tee teos
mdi.school,Tentti
mdi.school,Tipato viikkovideo
mdi.school,enkku
mdi.school,hoks tapaaminen
mdi.school,hygienapassi testi
mdi.school,pienryhmät
mdi.school,studio A
mdi.school,uskonnon esitelmä
mdi.twitter,valmiiks
mdi.wheelchair,Puheterapeutti? AT
mdi.wheelchair,laskettelua
mdi.wheelchair,luistelua
moon.fill,Good Night 💕
moon.fill,Illan vietto
moon.fill,Iltatoimet
moon.fill,Iltatoimet II
moon.fill,Nuku hyvin!
moon.fill,Sleep Well!
moon.fill,Uni
moon.fill,nuku hyvin!
moon.zzz.fill,Nuku hyvin!
moon.zzz.fill,Sleep Well!
music.note,ITT03 tanssi
newspaper.fill,Kandi
newspaper.fill,Prosemmajutut
newspaper.fill,Töitä
noun.coffee,Aamupala
noun.coffee,Aamupala & kandi
noun.coffee,Aamupala & opiskelu
noun.coffee,Aamuvuoro
noun.coffee,Iltapala
noun.coffee,Put tea ready
noun.coffee,Ruokatauko
noun.coffee,Syö aamupala
noun.coffee,Tauko
noun.coffee,Teetä
noun.coffee,Vertti TRE
noun.coffee,enni
noun.coffee,tauko
noun.meal,Aamupala
noun.meal,Illallinen
noun.meal,Iltapala
noun.meal,Lounas
noun.meal,Päivällinen
noun.meal,Ruoka
noun.meal,Ruoka-aika 🍽
noun.meal,Ruokailu
noun.meal,Syö
noun.meal,Syö aamupalaa
noun.meal,Syömään
noun.meal,Välipala
noun.meal,aamupala
noun.meal,iltapala
noun.meal,ruoka
noun.party,Approt
noun.party,Empun polttarit
noun.party,ME-päivä
noun.party,Milkan synttärit
noun.party,Projekt X
number,tee viikkosuunnitelmaa
paintbrush.fill,Imuroi
paintbrush.fill,Siivoa
paintbrush.fill,hiusten värjäyksiä
paintbrush.fill,maalaa
paintbrush.fill,remppa
paintbrush.pointed.fill,Isälle ravintolalahjakortti
paintbrush.pointed.fill,Maalaa
paintbrush.pointed.fill,Äidille kortti
paperclip,Bujo
paperclip,Tee CV
paperplane.fill,Laskettelu
pencil.and.outline,Kirjoita
pencil.and.outline,Koulutehtäviä
pencil.and.outline,Lukudiplomi
pencil.and.outline,Piirrä
pencil.and.outline,Suunnittele huominen päivä
person.2.fill,Meten näkeminen
person.2.fill,Mirelle
person.2.fill,Ruska
person.2.fill,äikkä puhe
phone.fill,Fennia Insurance
phone.fill,Soita hammaslääkäriin
phone.fill,kissojen rokotus
phone.fill,soita hammaslääkäriin
phone.fill,soita mummulle
photo.fill,Töihin
pianokeys,Piano
pianokeys,Pianotunti
pianokeys,Soita pianoa
pills.fill,Aamutabut
pills.fill,Aamuvitamiinit
pills.fill,Iltatoimet
pills.fill,Lääke
pills.fill,Lääkkeet
pills.fill,Melatoniini
pills.fill,Na-aamu zoom
pills.fill,Rauta
pills.fill,Terapia
pills.fill,Unilääkkeet!
pills.fill,✨Melatoniini ✨
pin.fill,Kuvat Okazusta
power,päivitä kalenteri ajan tasalle
questionmark,Hemminki Maskulaisen piknik
questionmark,Kauppa
questionmark,Kysy memmulta
questionmark,Lähtövalmistelut
questionmark,"english, opiskellu"
questionmark,kurssitarjotin mietintää
questionmark,pankkijutut
scissors,Leikkaa kynnet
scissors,Leikkaa otsatukkaa
scissors,Ompelua
scissors,ompelu
scissors,vaatteiden korjaus
shippingbox.fill,Order Pick Up H&M
shippingbox.fill,Получить
signature,Tsekkaa fiilis
signature,stoic.
smiley.fill,nails
sportscourt.fill,Treenit
star.fill,Duo
star.fill,Duo koreo
star.fill,Pr
star.fill,Tanssitunnit
star.fill,Tatska
star.fill,Tee suodattimen lähetyspaprut
star.fill,Vapaa-aika
star.fill,pr muutokset
star.fill,suunnittele tanssitunnit
stethoscope,Harjoittelu
stethoscope,Koronarokotus III
stethoscope,Lääkäri
stethoscope,Paino
stethoscope,päiväkirjaa
sun.max.fill,Aamu
sun.max.fill,Aamupaino
sun.max.fill,Aamutoimet
sun.max.fill,Aamutoimet II
sun.max.fill,Herätys
sun.max.fill,Herätys!
sun.max.fill,Päivälenkki
sun.max.fill,Talli
sun.max.fill,kesätöiden haku
sun.max.fill,morning
sunrise.fill,Aamupala 🍏🍊🍉
sunrise.fill,Aamutoimet
sunrise.fill,Herätys
sunrise.fill,herää
sunset.fill,Iltajooga
sunset.fill,Iltalenkki
sunset.fill,Iltapala
tag.fill,Ounce & kauppa
text.badge.checkmark,Asennukset
text.badge.checkmark,DanskeBank viesti
text.badge.checkmark,Herätys!
text.badge.checkmark,Lopeta työt
text.badge.checkmark,Roskat + postipaketti!
text.badge.checkmark,Talouskatsaus
text.badge.checkmark,Tee Forms ja lähetä toinen Forms
text.badge.checkmark,hygienapassi
text.badge.checkmark,jatko opiskelu mahdollisuudet?
text.badge.checkmark,mainosanalyysi
timer,Lähde
timer,Valmistautuminen
timer,Vuokra
tram.fill,..
tram.fill,bussi äitille
trash.fill,Keittiö
trash.fill,Olohuone
trash.fill,Tiskaa
trash.fill,Vaatekaappi
trash.fill,Vaatekomero
tv.fill,Vapaata
video.fill,Etäluennot
video.fill,Skype: Kela-tyyppi
video.fill,soita oonalle
wand.and.stars,Iltajärjestely
wand.and.stars,Kämpän siivous
wand.and.stars,Lankkaa diskomaiharit
wand.and.stars,Pyykit
wand.and.stars,Siivoa
wand.and.stars,Sunnuntaisiivous
wand.and.stars,Uni
wind,Tauko
x.squareroot,Laske matikkaa
x.squareroot,Leetcode
x.squareroot,Matikka
x.squareroot,ViMe
x.squareroot,koulu 9.30
x.squareroot,lue kirjoituksiin
x.squareroot,lue äikän kirjaa
x.squareroot,matikka
x.squareroot,opiskele
x.squareroot,ussan kokeeseen harjoittelu
x.squareroot,ussan kokeeseen harjoittelu (2)
x.squareroot,yh kokeeseen harjoittelua
zzz,Nuku hyvin!
