label,text
airplane,AMS ✈️🌍
airplane,Alsace Halbart
airplane,Andalousie
airplane,Anglais
airplane,Appel Marrakech
airplane,Appelé outre-mer fret
airplane,Avion
airplane,Aéroport Antoine
airplane,Aéroport Maman
airplane,Aéroport de Beauvais jusque l’Aéroport de Bergamo
airplane,Billet paris
airplane,Check in vols
airplane,Commencer la valise
airplane,Direction Marseille
airplane,Départ La Rochelle
airplane,Déplacement Cannes
airplane,Genève - Barcelone
airplane,Gérer échange
airplane,Lille
airplane,Lisbonne : check-in
airplane,Pack Toronto
airplane,Passeport
airplane,Prendere Manar aeroporto
airplane,Préparer la valise
airplane,Recherche billet d’avion
airplane,Rendez-vous passeport
airplane,Retour Buda
airplane,"Sjekke opp dato, London"
airplane,Taff
airplane,Touquet
airplane,Train 11:22
airplane,Travail AEC ->TX
airplane,VOYAGE FRANCE 🇫🇷
airplane,VOYAGE PARIS 🇫🇷
airplane,Vacances
airplane,Valise
airplane,Voir essai en vol
airplane,Vol #1 Air Canada
airplane,Vol Bruxelles/Dubaï
airplane,Voyage
airplane,Voyage d’étude
airplane,valise
alarm.fill,Adkhar sabah
alarm.fill,Aller chez Maman
alarm.fill,"Allez hop, sort du lit !"
alarm.fill,Au dodo les enfants
alarm.fill,Aufstehen!
alarm.fill,Aufwachen!
alarm.fill,Bon matin
alarm.fill,Bon matin!
alarm.fill,Bon matin!!
alarm.fill,Bonjour
alarm.fill,Bonjour  et méditation
alarm.fill,Bonjour !
alarm.fill,Bonjour ! 🌞
alarm.fill,Bonjour !/ petit dej
alarm.fill,Bonjour !☀️
alarm.fill,Bonjour Math!
alarm.fill,Bonjour Swarëlle 🧋
alarm.fill,Buenos dias ☀️ !
alarm.fill,C'est l'heure de se réveiller !
alarm.fill,Café+ habit
alarm.fill,Ce jour est à toi
alarm.fill,Collect tâches
alarm.fill,Cours bg molclre (Validé)
alarm.fill,DEBOUT ETTENNA 😍
alarm.fill,Debout
alarm.fill,Debout !
alarm.fill,Debout ! Tableau de Visualisation
alarm.fill,Debout ! 🌞🌻
alarm.fill,Debout !!!
alarm.fill,Debout vraiment
alarm.fill,Debout!
alarm.fill,Départ
alarm.fill,Ecole !
alarm.fill,Faire du sport
alarm.fill,Fait CCNA
alarm.fill,Fajr
