label,text
alarm.fill,Buđenje
alarm.fill,Buđenje!
alarm.fill,Buđenje!⏰
at,Napisati e-mail
at,Odgovori na Emailove
at,Posao
atom,Depilacija
bandage.fill,Physiotherapie
bed.double.fill,Odmor
bitcoinsign.circle.fill,Platit kaznu
bolt.car.fill,CAR MEET
bolt.fill,Vezbe
book.fill,5 min journal
book.fill,Faks
book.fill,Izvanobiteljska - zadatak za prvi termin nastave (2.3. Srijeda)
book.fill,Kriminologija
book.fill,Kriminologija (skripta)
book.fill,Mikroekonomija III Teorija
book.fill,Ucenje
book.fill,Učenje
book.fill,Učenje 3
book.fill,lektira
book.fill,povijest
book.fill,rješit testove iz biologije
book.fill,Čitanje
book.fill,Учење ортопедије
book.fill,Учење психологије
briefcase.fill,Job
briefcase.fill,Posao
briefcase.fill,Spremit stvari
calendar,Diego band
car.fill,Slovenija
cart.fill,Dućan
cart.fill,Idi u Shopping
cart.fill,Sopping
comb.fill,Booking
custom.cat,Oprati WC
custom.chemistry,kemija
custom.cooking,Priprema Marenda
custom.cooking,Ručak
custom.cooking,Skuhati ručak
custom.cooking,Uzina
custom.cooking,Večera
custom.dog,Šetnja Izzy
custom.dumbbell,Gym
custom.dumbbell,Teretana
custom.dumbbell,Training
custom.dumbbell,Trening
custom.dumbbell,Trening💃🏻
custom.dumbbell,Workout
custom.dumbbell,stretch
custom.lipstick,"Zubi, lice, serumi, oblačenje"
custom.shower,Otuširaj se
custom.shower,Pampering
custom.shower,Shower<3
custom.shower,Spremanje
custom.shower,Stavi prat robu za sarajevo
custom.shower,Tusiranje
custom.shower,Tuširanje
custom.sit,Edukacija “Postupanje u slučaju nasilja među djecom i mladima”
custom.sit,Grupa roditelja
custom.toothbrush,Spremanje za posao
custom.toothbrush,Spremanje za posao i školu
custom.toothbrush,higijena
desktopcomputer,Pauza
desktopcomputer,Photoshop
desktopcomputer,Pogled u Sebe
desktopcomputer,Posao
desktopcomputer,Power nap
desktopcomputer,Seminar sociologija
desktopcomputer,Serija
doc.fill,Pogledaj sta imas za KENGUR
doc.fill,Pripremi materijale za printanje
doc.fill,Procitaj negu
drop.fill,Skincare
exclamationmark.triangle.fill,Čitanje lektire
folder.fill,Soritrat papire
folder.fill,Spakovati stvari sve
gamecontroller.fill,Gaming and Music
gamecontroller.fill,Slobodno vrijeme
gift.fill,rodendan
hand.raised.fill,Odmor
hourglass,Posao
house.fill,Pospremiti stan
house.fill,Promijeniti posteljinu
house.fill,Skinuti veš
leaf.fill,Meditacija
leaf.fill,Razgibavanje u krevetu
location.fill,Bus🚌
mdi.alcohol,Kava
mdi.alcohol,Opusti se
mdi.birthday,Ručaj
mdi.instagram,Objavi Psihofax
mdi.relax,Ljekovito bilje
mdi.relax,Stavit moći grah
mdi.running,Otic do dma
mdi.school,1. kolokvij - TOSPI
mdi.school,Chemistry HL
mdi.school,Diplomski
mdi.school,Edukacija EU projekti
mdi.school,Faks
mdi.school,Hrvatski A SL
mdi.school,Ispit
mdi.school,Mathematics HL
mdi.school,Napraviti raspored
mdi.school,Naučiti geografiju
mdi.school,Predavanja
mdi.school,Skola
mdi.school,Učiti psihologiju📚
mdi.school,Škola
mdi.school,škola
mdi.school,ТПН
mdi.subway,Vlak
moon.fill,Laku noć!
moon.fill,Pauza
moon.fill,Sleep Well!
music.note,Vježbanje violine
newspaper.fill,Domaći matematika
newspaper.fill,Faks
newspaper.fill,Priprema literature
newspaper.fill,Uci negu
newspaper.fill,Valamar
noun.coffee,Caj
noun.coffee,Jelo i Kava
noun.coffee,Kafa
noun.coffee,Kava
noun.coffee,go somewhere
noun.meal,Ana Biočić - ručak
noun.meal,Dorucak
noun.meal,Doručak
noun.meal,Kuhanje ručka pita
noun.meal,Marenda
noun.meal,Priprema iftara
noun.meal,Ručak
noun.meal,Večera
noun.meal,jest
noun.meal,Čišćenje i Jelo
pencil.and.outline,Ispisi 5 reci za negu
person.2.fill,Sastanak: Leona Došen
person.2.fill,Sastanak: Marina Bakija
person.2.fill,Volontiranje - instrukcije
person.3.fill,Druzenje sa svojima
person.3.fill,Kava s prijateljem
person.3.fill,Odbor
person.3.fill,Šiht
person.fill,Seminari planiranje
pills.fill,Escitalopram
pills.fill,Kreatin i beta alanin
pin.fill,Napravi vjezbe
play.rectangle.fill,Film
play.rectangle.fill,Serija
questionmark,"Setnja, smaranje"
signature,Životopis i motivacijsko pismo za “Pogled u sebe”
smiley.fill,Djecija užina i meni za posla
text.badge.checkmark,Dućan - Kaufland
text.badge.checkmark,Spremanje za fakultet
text.badge.checkmark,Tema CC
thermometer,Umýt boty a vyndat zimní
timer,Odmor
video.fill,Snakke
wand.and.stars,Složiti ormare
wand.and.stars,Spremi se
wand.and.stars,Spremiti Emily sobu
wand.and.stars,Sredi sobu
x.squareroot,FM II zadaci
x.squareroot,Math club
x.squareroot,Mikroteprija III ZADACI
x.squareroot,Uciti matematiku(napisati zadacu)
x.squareroot,Učenje
x.squareroot,Zadaci statistika
