label,text
alarm.fill,Bangun!
alarm.fill,"Bangun,Sholat, Siap2"
alarm.fill,Bangunnnnn
alarm.fill,Mandi + Sholat Tahajud
alarm.fill,Sholat subuh
alarm.fill,Wake up!
alarm.fill,wakeyy!
archivebox.fill,Beres beres
archivebox.fill,Mencuci dan bersih2
archivebox.fill,Riset Balik Nama
archivebox.fill,Setrika
arrow.3.trianglepath,Rapikan tempat baju
arrow.3.trianglepath,Setrika
at,Balas Email
at,Balas wa dan sebar bc untuk mengajar
at,Fun Push WS
atom,Baca Alquran AL-Waqi’ah
atom,Bangun sholat+Doa Malam
atom,Ngaji
atom,Prepare
atom,Shalat Tahajud
atom,Yoga
bag.fill,Belanja
bag.fill,Kerja
bag.fill,Packing
bag.fill,jaga toko
bag.fill,jaga toko lagi
battery.25,Istirahat
bed.double.fill,Bangun
bed.double.fill,Bersih” kamar + dengerin rekaman/video ESN
bed.double.fill,Membersihkan kamar
bolt.car.fill,Lanjutin produksi
bolt.car.fill,Lanjutin produksi keripik
bolt.fill,Masak + bersih bersih
book.fill,Baca Al Waqiah
book.fill,Baca Buku
book.fill,Baca Think and Grow Rich
book.fill,Baca buku
book.fill,Baca buku dan Alquran
book.fill,Baca buku novel
book.fill,Baca buku self improvement
book.fill,Belajar
book.fill,Belajar Duolingo
book.fill,Belajar bahasa
book.fill,Bersihkan Lemari Buku
book.fill,Hapalan Al-Quran
book.fill,Journaling
book.fill,Kampung Inggris - Tugas Asking Direction
book.fill,Kelas HMS
book.fill,Kerjain Tugas 1 Sesi 3
book.fill,Mengerjakan tugas FM
book.fill,Mengerjakan tugas uas
book.fill,Move file Banking Non Banking & nyatet materi
book.fill,Murojaah Ders
book.fill,Ngajar ngaji Shidqia
book.fill,Ngaji
book.fill,Praktikum Mobile2
book.fill,Praktikum Web3
book.fill,Prepare kantor
book.fill,Read a book
book.fill,Read book
book.fill,SIMULASI
book.fill,STUDY
book.fill,Study karies
book.fill,Türkçe
book.fill,UTS Mobile
book.fill,baca buku
book.fill,ngaji 📿
book.fill,لغة العربية
bookmark.fill,Mengaji
briefcase.fill,Cek IG untuk cari Loker
briefcase.fill,Desa Sidodadi
briefcase.fill,Dinas Perkim 🧳
briefcase.fill,KERJA
briefcase.fill,Kerja
briefcase.fill,Magang
briefcase.fill,PR Komponen Panel KU LRT
briefcase.fill,Ppt proper
briefcase.fill,Siap siap berangkat kerja
briefcase.fill,Work
briefcase.fill,jaga toko lagi
briefcase.fill,working thriftbyshael
bubble.left.fill,Balas Chat
bubble.left.fill,Cek Whatsapp san respon yg perlu di respon
bubble.left.fill,Chat Mbak Vio
calendar,HSI
car.fill,Antar Rimo
car.fill,Berangkat RS
car.fill,Berangkat kerja
car.fill,Cuci Mobil
car.fill,Go To Home
car.fill,Go to school
car.fill,Go work
car.fill,Jemput Rimo
car.fill,Prepare + Otw SDA
cart.fill,Belanja
cart.fill,Co Shopee cari kado buat Andre
cart.fill,Liat” orderan & co Shopee
cart.fill,Salad groceries🥗
cart.fill,belanja ke tiara
cart.fill,belanja kebutuhan
chart.bar.fill,Satu Persen
cloud.snow.fill,Cuci baju dan mandi jumat
comb.fill,Skincare
comb.fill,Skincarean & pakai baju
custom.cat,Bersihin kandang kucing + ngasih makan
custom.cat,Kasih Makan PIKO ❣︎
custom.cat,Kasih makan joyi
custom.cooking,Buat Sarapan Rimo
custom.cooking,Cooking
custom.cooking,Makan Malam
custom.cooking,Makan Siang
custom.cooking,Makan siang
custom.cooking,Masak
custom.cooking,Masak nasi
custom.cooking,Siapin bekal suami
custom.cooking,masak + makan
custom.dog,Clean up rucing
custom.dumbbell,HARI WAJIB SIBUK BELAJAR!!!
custom.dumbbell,Olah raga
custom.dumbbell,Olahraga
custom.dumbbell,Olahraga yukk biar awet muda!
custom.dumbbell,Workout
custom.dumbbell,Yoga
custom.dumbbell,work out
custom.dumbbell,workout
custom.dumbbell,🏋️Sport
custom.hairdryer,Skincare
custom.language,Kursus Prancis
custom.lipstick,PAKAI MASKER
custom.lipstick,Pakaian
custom.lipstick,Skincare
custom.lipstick,macakkk
custom.shower,Bath
custom.shower,Cuci motor
custom.shower,MANDI
custom.shower,Mandi
custom.shower,Mandi & Skincarean
custom.shower,Mandi & skincarean
custom.shower,Mandi + Make up
custom.shower,Mandi Pagi
custom.shower,Mandi keramas
custom.shower,Mandi pagi
custom.shower,Mandi sore
custom.shower,Mandi soree lah biar wangiiiii
custom.shower,"Mandi, mandiin adik pagi"
custom.shower,Mandiin adik sore
custom.shower,Morning routine
custom.shower,Persiapan Kuliah
custom.shower,Persiapan tidur
custom.shower,Prepare kantor
custom.shower,Shower
custom.shower,Take a shower
custom.shower,Wash face
custom.shower,cuci muka + wudhu’
custom.shower,mandi
custom.shower,mandi!!
custom.shower,mandi🧴
custom.toothbrush,Cuci muka
desktopcomputer,"Byk2 praktek yg sudah d pelajari, nambah skill itu investasi terbaik utk diri sendiri lohh"
desktopcomputer,Credit Note Internal
desktopcomputer,Forecast CAT
desktopcomputer,Kerja Pagi
desktopcomputer,List Outstanding
desktopcomputer,Make a content!
desktopcomputer,Mulai kerja
desktopcomputer,Nonton
desktopcomputer,REVIEW M.STRATEGI
desktopcomputer,Sortir shipment BQ1017009368 yg belum teruodate di Master
desktopcomputer,Stock Amo
desktopcomputer,TOBK
desktopcomputer,TRAINING
desktopcomputer,UTS SA
desktopcomputer,Update Master Stock
desktopcomputer,Update Out 12/11 ke OS
desktopcomputer,belajar buku go
desktopcomputer,input Out 12/11/21 ke master stock
desktopcomputer,lihat tutorial menghafal
desktopcomputer,update out AMO ke list AMO dan master stock
doc.fill,Addendum II
doc.fill,Adendum III
doc.fill,Buddyku
doc.fill,Laporan Harian
doc.fill,Mapping Toko AmertaShop
