label,text
airplane,Aereo
airplane,Aggiornare Cartela Viaggi
airplane,Barcellona
airplane,Book mum’s flights
airplane,Erasmus
airplane,Ferie
airplane,Firenze
airplane,Fiumicino
airplane,GRANADA
airplane,Gita
airplane,Giulianova
airplane,INSTANBUL Cercare voli e rispondere alla email
airplane,Inglese
airplane,Lloret De Mar
airplane,Madrid
airplane,Napoli
airplane,Parigi
airplane,Partenza
airplane,Passaporto
airplane,Praga
airplane,Prenotare check-in
airplane,Prenotare cose Parigi e passaporto
airplane,Programmare viaggio a Parigi
airplane,Spedire pacco Vinted
airplane,Storia
airplane,VERSIONE LATINO
airplane,Valigia
airplane,Venezia ⛵️
airplane,Viaggio Catania
airplane,Viaggio dalla nonna
airplane,Volo
airplane,bugio in sardegna
airplane,bugio in sardegna :(
airplane,prendere volo ritorno
airplane,progetto esabac
alarm.fill,Andare a dormire
alarm.fill,"Bonjour, ma Cherie!"
alarm.fill,Buongiorno
alarm.fill,Buongiorno 🙂
alarm.fill,Cena
alarm.fill,Colazione
alarm.fill,Despierta!
alarm.fill,Good Morning!
alarm.fill,Good morning sorella
alarm.fill,Lavoro
alarm.fill,Maschera
alarm.fill,Pause
alarm.fill,Prep
alarm.fill,Pulizie
alarm.fill,Riordino camera
alarm.fill,SVEGLIA WEEKEND
alarm.fill,SVEGLIA!
alarm.fill,Sveglia
alarm.fill,Sveglia fiorellino🌷
alarm.fill,Sveglia!
alarm.fill,Sveglia! (note)
alarm.fill,Sveglia! MEDICINA
alarm.fill,Sveglia! Rifai il letto!
alarm.fill,Sveglia! ⏰
alarm.fill,Sveglia! ☀️
alarm.fill,Sveglia! 💖
alarm.fill,Sveglia!⏰
alarm.fill,Sveglia!😴⏰
alarm.fill,Sveglia!😴⏰⌚️
alarm.fill,Svegliarsi
alarm.fill,Svegliati 😴
alarm.fill,Sveglia⏰
alarm.fill,Sveglia📣
alarm.fill,Wake up!
alarm.fill,Wake up!!⏰
alarm.fill,Wake up..!!
alarm.fill,Wakes up!
alarm.fill,alarma
alarm.fill,alzarsi
alarm.fill,gm
alarm.fill,gm <3
alarm.fill,mi alzo
alarm.fill,morning routine ☀️
alarm.fill,segliate che chai scuola corri che fai tardi cretina
alarm.fill,sveglia
alarm.fill,sveglia e fermenti
alarm.fill,sveglia!
alarm.fill,sveglia!!
alarm.fill,wake up
alarm.fill,wake up!
alarm.fill,⏰
alarm.fill,⏰ Sveglia! ⏰
alarm.fill,⏰- Registra Orari
alarm.fill,☀️
