label,text
alarm.fill,Bonan matenon!
alarm.fill,Wake up!
alarm.fill,おはようございます！
alarm.fill,起きましょう！
alarm.fill,起床
arrow.3.trianglepath,laundry
arrow.3.trianglepath,洗濯
atom,セミナー化学
bag.fill,弁当を出す
bag.fill,散歩・買い物
bag.fill,準備
bag.fill,買い物
battery.25,充電
bed.double.fill,奄美ホテルピックアップ
bed.double.fill,奄美旅行プラン
bed.double.fill,部屋の片付け
bitcoinsign.circle.fill,ストクを勉強して
book.fill,24フレームの映画学
book.fill,MTG @武蔵小杉
book.fill,SPI
book.fill,biology
book.fill,ethnics
book.fill,physics
book.fill,テスト勉強
book.fill,マンガを読みして
book.fill,仕事関連の勉強
book.fill,勉強
book.fill,小説書く
book.fill,昼ごはん
book.fill,本を読みして
book.fill,直し
book.fill,自由時間
book.fill,英語
book.fill,読書
book.fill,課題
book.fill,赤本
book.fill,面接 練習
bookmark.fill,くりりん
bookmark.fill,クリリン課題
bookmark.fill,教職申込のレポート
bookmark.fill,未提出課題 音楽史
bookmark.fill,英語
bookmark.fill,３限
bookmark.fill,４限
bookmark.fill,５限
bookmark.fill,７限
briefcase.fill,アクセンチュア本選考
briefcase.fill,事務
briefcase.fill,仕事
briefcase.fill,伊勢ハロワに就職報告
briefcase.fill,就活　面談
briefcase.fill,机を掃除して
briefcase.fill,面談（健康管理センター小林としこさん）
camera.fill,撮影
car.fill,Jeff 吹上駅に送る
car.fill,Move
car.fill,Pick up Jeff at Fukiage sta.
car.fill,migri
car.fill,ぎゅうとら駐車場
car.fill,出勤
car.fill,外出
car.fill,帰宅
car.fill,移動
car.fill,花巻へ
car.fill,退勤
cart.fill,Go back home and organise groceries 
cart.fill,Shopping
cart.fill,ほしいものリスト
cart.fill,ネットスーパー
cart.fill,仕事着購入
cart.fill,切手購入
cart.fill,外出
cart.fill,買い物
chart.pie.fill,計画
chevron.left.slash.chevron.right,田中すぐる
cloud.fill,空白
cloud.fog.fill,ご飯
cloud.fog.fill,🍚
comb.fill,メイク
comb.fill,支度
comb.fill,朝の支度
comb.fill,準備
creditcard.fill,バス代支払う
custom.cat,アカペラ見通し
custom.cat,勉強
custom.cat,立命館英語
custom.cat,編み物
custom.cat,編み物（ステンドグラス）
custom.cooking,バイト
custom.cooking,夜ごはん
custom.cooking,昼ごはん
custom.cooking,晩ごはんの準備
custom.cooking,晩ごはんを作る
custom.dumbbell,Exercise 
custom.dumbbell,ジムへ
custom.dumbbell,筋トレ
custom.dumbbell,運動して
custom.hairdryer,朝準備
custom.hairdryer,準備
custom.hairdryer,髪・肌・体ケア
custom.hairdryer,髪乾かす
custom.language,英語学習
custom.language,言語交換
custom.lipstick,メイク
custom.lipstick,準備 身支度
custom.lipstick,爪を塗って
custom.shower,Take bath
custom.shower,bano
custom.shower,おふろ
custom.shower,お風呂
custom.shower,シャワー
custom.shower,シャワーを浴びて
custom.shower,入浴
custom.shower,風呂
custom.sit,授業
custom.sit,自習室
custom.toothbrush,ナイトルーティン
custom.toothbrush,寝る準備
custom.toothbrush,寝る準備をしなさい
custom.toothbrush,支度
custom.toothbrush,歯磨き
custom.toothbrush,歯磨き・日焼け止め
custom.toothbrush,顔を洗う＆基礎化粧
desktopcomputer,SHOWチャンネル
desktopcomputer,テレビ
desktopcomputer,講義(英語)
doc.fill,ゼミ
doc.fill,レポート
doc.fill,勉強
doc.fill,塾
dollarsign.circle.fill,えんや
exclamationmark.triangle.fill,卒業試験 
eyeglasses,勉強
eyeglasses,勉強して
eyeglasses,東進衛星　国語
eyeglasses,着替え
figure.walk,Go for walk
figure.walk,migri
figure.walk,お散歩
figure.walk,下校
figure.walk,出発
figure.walk,外出
figure.walk,散歩or運動
figure.walk,散歩に行く
figure.walk,登校時間
figure.walk,移動
figure.walk,腹筋、踏み台昇降
figure.walk,諏訪大社 下社 春宮
figure.walk,諏訪大社 下社 秋宮
figure.walk,買い物
figure.wave,帰宅
figure.wave,除毛と掃除
film.fill,映画
flame.fill,ルーチン開始
flame.fill,練習 フルート
folder.fill,メモをみる
gamecontroller.fill,sky
gamecontroller.fill,きゅうけい
gamecontroller.fill,ゲーム
