label,text
alarm.fill,Wake up!
alarm.fill,일어나세요!
archivebox.fill,계획안 작성
archivebox.fill,수업 준비
archivebox.fill,일지작성
at,이메일로 답장 보내기
bag.fill,Work
bell.fill,1 Session
bell.fill,2 Session
bell.fill,3 Session
bell.fill,4 Session
book.fill,음악관련 영상보기
book.fill,인간과 환경
book.fill,책읽기
bookmark.fill,책읽기
briefcase.fill,회사
car.fill,퇴근
chevron.left.slash.chevron.right,코딩 테스트 준비
custom.dumbbell,헬스
custom.dumbbell,헬스장 가기
custom.lipstick,나갈준비
custom.shower,샤워
custom.shower,씻기
custom.toothbrush,양치
desktopcomputer,Ae 36. Expression(1)-FIN
desktopcomputer,C4d 88. Delay& MoCache-25
desktopcomputer,Mail and Messager feedback
desktopcomputer,confession (f2f)
desktopcomputer,강의 두 강 듣기
desktopcomputer,영어 드라마 보기
doc.fill,write my life story
dollarsign.circle.fill,아코스튜디오 구매
drop.fill,물 1L 마시기
figure.walk,도서관 가기
figure.walk,운동하기
gamecontroller.fill,루미큐브
keyboard,기술면접 질문 정리
leaf.fill,연차
leaf.fill,저녁 근행보기
leaf.fill,조퇴
mdi.birthday,내 생일
mdi.school,Apply for Yonsei
moon.fill,Sleep Well!
moon.fill,잘 자요!
moon.zzz.fill,잘 자요!
noun.meal,식사 프로폴리스 비타민
noun.meal,아침 먹기
noun.meal,아침 식사
noun.meal,저녁 먹기
noun.meal,저녁밥
noun.meal,점심 먹기
pencil.and.outline,"해부학, 간개론 강의"
pianokeys,피아노 연습
pills.fill,"루테인, 오메가3"
pills.fill,멀티비타민
pills.fill,"쉐이크, 콜라겐"
shippingbox.fill,핸드폰 - 애플워치 정리
star.fill,실습
stopwatch.fill,기상 유산균 커피
sun.max.fill,아침 루틴
sunrise.fill,기상
tv.fill,서사대 강의 듣기
wind,수영
zzz,낮잠
