label,text
alarm.fill,Stå opp
alarm.fill,Våkne!
alarm.fill,Våkne🌞
archivebox.fill,Hente pakke
bag.fill,Pakke
bandage.fill,Legetime
bed.double.fill,Avslapping
bed.double.fill,Skifte på senga
bed.double.fill,sove
book.fill, Fysikkprøve øving
book.fill,Biologi innlevering
book.fill,FVN
book.fill,Jobbe 
book.fill,Kjemi lekse
book.fill,Lekser
book.fill,Lese
book.fill,Lese bok i en time
book.fill,Manga
book.fill,Ringe akademika
book.fill,S2
bookmark.fill,Pocket
briefcase.fill,Inntektsmelding Iris
bubble.left.fill,Snakke med mamma om det å snakke med noen
car.fill,Bilvask
car.fill,Hente sofa
car.fill,Hente sofa // TGTG
car.fill,Kjøre Ida
car.fill,Kjøre bil
car.fill,Kjøre hjem
car.fill,Kjøre kent til bodø
car.fill,Kjøre og hente møbler
car.fill,Kjøre til jobb
car.fill,Ring rognan auto
car.fill,Rydde bilen
car.fill,Stavanger
car.fill,Ærend
cart.fill,Dra på butikken
cart.fill,Handle 
cart.fill,Handle i butikk
cart.fill,Handle til pizza snurrer?
cart.fill,Pante flasker + handle
chart.pie.fill,"Vaslinger, alarm, TikTok "
cloud.snow.fill,Måkke ute
comb.fill,Børste hår
comb.fill,Flette hår
custom.ball,Trening
custom.cooking,Bake kanelsnurrer
custom.cooking,Lag cottage cheese pannekaker til lunsj  
custom.cooking,Lage middag
custom.cooking,Spise kvelds
custom.cooking,Spise middag
custom.dog,Klippe og dusje Iris
custom.dog,Lufte Iris 💕
custom.dumbbell,Lage 1 mnd treningsprogram
custom.dumbbell,Planke 3 x30 sek
custom.dumbbell,Trene
custom.dumbbell,Trening
custom.dumbbell,Workout
custom.language,Jobb/to do
custom.language,Spansk
custom.language,한국어
custom.language,한국어 - 퀴즈렡
custom.lipstick,Sminke
custom.razor,Rydde rommet
custom.razor,shave
custom.shower,Dusje
custom.shower,Dusje etter trening
custom.shower,Rydde og vaske
custom.shower,Vaske håret
custom.shower,Vaske klær
custom.toothbrush,Brush Teeths
custom.toothbrush,Børste tenner
custom.toothbrush,Gjøre seg klar
custom.toothbrush,Kvelds stell
custom.toothbrush,Kveldsstell
custom.toothbrush,Pusse tenna
custom.toothbrush,Stelle deg
desktopcomputer,10 things i hate about you
desktopcomputer,Cobra kai i stua
desktopcomputer,Se på 10 things i hate about you
desktopcomputer,Se på YouTube 
desktopcomputer,Se på noe
doc.richtext,Svar på vaslinger og sett på alarm
dollarsign.circle.fill,Jobb
dollarsign.circle.fill,Jobb på G3
dollarsign.circle.fill,Rydde i klær og legg ut for salg
drop.fill,Do
drop.fill,Drikke vann
eyeglasses,Selvstudium 
figure.walk,Go for a walk🤍
figure.walk,Gå til legen
figure.walk,Gå til skolen
figure.walk,Jogge
figure.walk,Kveldstur
figure.wave,Klippe negler
figure.wave,bordtennis
film.fill,Se på Film
gamecontroller.fill,Ordne Ps5 bruker
gearshape.2.fill,Fikse led lys
gift.fill,Kjøpe gave til Sarah
gift.fill,Kjøpe gaver til Yousra
hammer.fill,Saksforberedende møte
heart.fill,Besøke Malin og Jørn 
heart.fill,FERIE
heart.fill,Fikse senga
heart.fill,Slappe av
hourglass,Fysikk prøve
house.fill,Klesvask
house.fill,På vei til skolen
house.fill,Rengjøre
house.fill,Rydde rommet
house.fill,Sette på tørketrommel
house.fill,Støvsuge rommet
house.fill,Vask kjøkken og gang
mdi.alcohol,Fylla
mdi.birthday,Bursdag besøk 
mdi.couch,Familietid
mdi.couch,Pakke ut
mdi.couch,Slappe av
mdi.instagram,TikTok 
mdi.running,Skøyter med Daniel og oliver
mdi.running,Ta en joggetur
mdi.school,Skole
mdi.school,Skolearbeid
mdi.school,skule
mdi.wheelchair,Strikke
moon.fill,Sov godt
moon.fill,Sov godt😴
mustache.fill,Bære ting ned i garasjen
noun.coffee,Iskaffe
noun.coffee,Kaffe med Bjørn 
noun.coffee,Lunsj
noun.coffee,Spise frokost
noun.meal,Dusj & lunsj
noun.meal,Frokost
noun.meal,Kveldsmat
noun.meal,Lage lunsj
noun.meal,Lunsj
noun.meal,Lunsj - lompepizza
noun.meal,Middag
noun.meal,Middag - Restepizza
noun.meal,Spis lunsj
noun.meal,Spise middag
pencil.and.outline,Møte med sosiale 
person.3.fill,Bursdag his Rikke
person.3.fill,Capt tlf møte med kontoret
person.3.fill,Tik tok
phone.fill,Ring Laila Kværn
pills.fill,Medisiner
pills.fill,Ta medisiner
play.rectangle.fill,Youtube
questionmark,Bestille kinobillettter
questionmark,Betale regninger
questionmark,Regne ut kvitteringer
shippingbox.fill,Prøve Zara klær
shippingbox.fill,Prøve på Zara klær
smiley.fill,Lær deg å hekle
sportscourt.fill,LIK-fantasy 
star.fill,Trenings-forberedelse 
stethoscope,Ring tommy tannlege
stopwatch.fill,Tabata
stopwatch.fill,Våkne!
sun.max.fill,Tur
sunrise.fill,Morgenstell
text.badge.checkmark,Agenda
text.badge.checkmark,Booster vaksine
text.badge.checkmark,Skole
text.badge.checkmark,Vask klær
tortoise.fill,Rydde
tram.fill,Tog
tv.fill,Se på TV-serie
tv.fill,Se på noe i stua
wand.and.stars,Heng opp klær
wand.and.stars,Skin-care
wand.and.stars,Støvsuge
wand.and.stars,Ta ned klesvask + sette på ny 
wand.and.stars,Vaske gulv
wand.and.stars,vaske bad
zzz,Badet
