label,text
airplane,Bilety
airplane,Francuski
airplane,Jedź do Naty
airplane,Odprawa
airplane,Pakowanie
airplane,Wycieczka
airplane,Wyjazd wakacje
airplane,rozpakować walizkę
alarm.fill,Antonia uro złożyć życzenia
alarm.fill,Aufstehen
alarm.fill,Aufwachen!
alarm.fill,Dzień dobry! Czas na poranne rozciąganie 🤸🏼‍♂️
alarm.fill,Grafika 3d
alarm.fill,II sesja nauki
alarm.fill,Matma - korki
alarm.fill,Morning routine🌼
alarm.fill,P o b u d k a !
alarm.fill,POBUDKA!
alarm.fill,Pobudka
alarm.fill,Pobudka + mycie zębów ubranie sie
alarm.fill,Pobudka 2
alarm.fill,Pobudka ❤️
alarm.fill,Pobudka!
alarm.fill,Pobudka! Ogarnij się!
alarm.fill,Pobudka!⏰
alarm.fill,Pobudka!✨
alarm.fill,Pobudka!🌤
alarm.fill,Pobudka- czas wstawać
alarm.fill,Pobudka🤍✨
alarm.fill,Poranek
alarm.fill,Poranna rutyna
alarm.fill,Praca
alarm.fill,Przerwa
alarm.fill,Rozrywka i paznokcie
alarm.fill,Ubierz się
alarm.fill,Wake up
alarm.fill,Wake up!
alarm.fill,Wstajesz
alarm.fill,Wstać
alarm.fill,Wstań
alarm.fill,good morning
alarm.fill,p o b u d k a
alarm.fill,pobudka
alarm.fill,pobudka!
alarm.fill,pobudka🥱🥱
alarm.fill,wake up
alarm.fill,wake up!
alarm.fill,wake up<3
alarm.fill,wakeup
alarm.fill,wstac
alarm.fill,wstań
alarm.fill,☀️
alarm.fill,𝙿𝙾𝙱𝚄𝙳𝙺𝙰!😴🤍
alarm.fill,𝚠𝚊𝚔𝚢 𝚠𝚊𝚔𝚢 𝚐𝚘𝚐𝚢 𝚠𝚘𝚐𝚢 😭😭
ant.fill,Aleks: Planowanie postów do Kasi do końca maja
ant.fill,Biologia
ant.fill,Cleanup
ant.fill,PIT firmowy - poprosić Taxe o złożenie
ant.fill,Read Biology
ant.fill,Rysowanie
ant.fill,Sprzątanie
ant.fill,Study biology test
ant.fill,Test z kont osobistych
ant.fill,biologia notatki
ant.fill,włosy
archivebox.fill,Jutro praca DPD 7:00
archivebox.fill,Nauka💀
archivebox.fill,Pakowanie do szkoły
