label,text
airplane,Apresentação PPS
alarm.fill,Acordar
alarm.fill,Acordar!
alarm.fill,Arrumar a cama
alarm.fill,Escola
alarm.fill,Estudar 
alarm.fill,Hora de Acordar!
alarm.fill,Meter alarme para as 11:00
alarm.fill,Preparar me para a escola
alarm.fill,Trabalhar
alarm.fill,wake up
archivebox.fill,Lavar Roupas
arrow.merge,Yoga
at,Pagar correio e mandar e-mail Windsor 
at,Responder a Emails
atom,Aula ciências 
atom,Pesquisar sobre LDA 
bag.fill,Atualizar medição ENGEFOTO 
bag.fill,CLDF
bag.fill,Ir no mercado 
bag.fill,troca brownie
battery.25,Lanche da manhã 
battery.25,Lanche da tarde 
battery.25,ajudar minha mãe o dia todo 🧹
bed.double.fill,Arrumar a cama
bed.double.fill,Arrumar a casa
bed.double.fill,Arrumar meu quarto 
bed.double.fill,Arrumar o quarto
bed.double.fill,Deitar
bed.double.fill,Descanso 
bed.double.fill,Fazer a cama
bed.double.fill,arrumar a cama
bolt.car.fill,Lavar carro c/ 1€ apenas
bolt.car.fill,שיעור נהיגה
bolt.fill,Café da manhã
bolt.fill,Rotina matinal
bolt.fill,Rotina matinal 
bolt.fill,Verificar o celular
bolt.fill,power break
book.fill,Adoração Matinal
book.fill,Arte e literatura: conceitos iniciais 
book.fill,Aula G7 Jurídico
book.fill,Biologia 
book.fill,Devocional
book.fill,Devocional 
book.fill,Escola
book.fill,Escrituras 
book.fill,Estudar
book.fill,Estudar 
book.fill,Estudar - vídeos obesidade e Lilly 
book.fill,Estudar DA
book.fill,Hora da Leitura
book.fill,Igreja 
book.fill,Leitura
book.fill,Leitura bíblica 
book.fill,Ler
book.fill,Ler 
book.fill,Matemática 
book.fill,Momento com Deus
book.fill,Monitoria de Filosofia 
book.fill,Multiplicação 8/9
book.fill,𝑬𝒔𝒕𝒖𝒅𝒂𝒓 𝒊𝒏𝒈𝒍𝒆̂𝒔
bookmark.fill,Curso de inglês 
bookmark.fill,Guardar roupas 
briefcase.fill,1° tarefa mais IMPORTANTE do dia
briefcase.fill,Arrumar malas
briefcase.fill,Empresa
briefcase.fill,Fazer Orçamentos - ASP
briefcase.fill,Fazer a mala 
briefcase.fill,Trabalhar 
briefcase.fill,Trabalho
briefcase.fill,Work
bubble.left.fill,Duolingo 
bubble.left.fill,Ver Discord
bubble.left.fill,estudar morfossintaxe
calendar,Frase do dia
calendar,Schedule doctors
calendar,Ter com um amigo!?
camera.fill,Fotografar
car.fill,Arrumar as coisas para o carro
car.fill,Fazer 2 exames de código 
car.fill,Go to school
car.fill,Ir para Escola
car.fill,Ligar a escola de condução
car.fill,Locomoção
car.fill,Pegar Uber o/ Rodoviária
car.fill,Viagem para casa
car.fill,go to…
cart.fill,Comprar queijos para a tábua
cart.fill,Compras
cart.fill,Decathlon/ Inf. WA
cart.fill,Edeka
cart.fill,Ir no mercado 
cart.fill,Ir ás Compras
cart.fill,Mercado
cloud.fog.fill,Almoço 
comb.fill,Get ready 
comb.fill,Lavar cabelo
comb.fill,SE ARRUMAR 
comb.fill,Tirar medidas
comb.fill,me arrumar
creditcard.fill,Criar conta moey
creditcard.fill,Pagar contas empresa
custom.cat,Caminhada Kell
custom.cat,Passeio Kell
custom.cat,Veternário 
custom.cat,boa noite 
custom.cooking, Colocar alguma coisa no tempero 
custom.cooking,Almoçar
custom.cooking,Almoço 
custom.cooking,Cozinhar e Almoçar
custom.cooking,Fazer almoço 
custom.cooking,Fazer brownie
custom.cooking,Fazer o almoço 
custom.cooking,Inventário congelador / arrumar armário doces 
custom.cooking,Jantar
custom.cooking,Pausa (almoço saudável)
custom.cooking,Preparar Marmita
custom.cooking,Preparar marmita 
custom.cooking,Preparar o almoço 
custom.cooking,Pudim de chia 
custom.cooking,preparar o almoço
custom.dog,Alimentar pets 
custom.dog,Dar comida pro panqueca 
custom.dog,Dar comida pros bichos 
custom.dog,Passear com lucky
custom.dog,Passear com o cachorro 
custom.dumbbell,Academia
custom.dumbbell,Academia 
custom.dumbbell,Atividade Física 
custom.dumbbell,Atividade física 
custom.dumbbell,Exercício 
custom.dumbbell,Exercícios 
custom.dumbbell,Exercícios - Força
custom.dumbbell,Fazer alongamentos
custom.dumbbell,Fazer exercício 
custom.dumbbell,Fazer exercícios 
custom.dumbbell,GAP
custom.dumbbell,Ginásio
custom.dumbbell,Japanese waist slimming technique 
custom.dumbbell,Se exercitar
custom.dumbbell,Treinar
custom.dumbbell,Treino
custom.dumbbell,Treino 
custom.dumbbell,Workout
custom.dumbbell,gym
custom.hairdryer,BabyLiss
custom.hairdryer,Botar uma roupa
custom.hairdryer,Cuidar de mim
custom.hairdryer,Se arrumar
custom.hairdryer,Teste de mecha e pintar
custom.language,Inglês 
custom.language,Study English 
custom.language,inglês
custom.lipstick,Ficar pronta 
custom.lipstick,Maquiagem
custom.lipstick,Maquiagem 
custom.lipstick,Separar roupa
custom.lipstick,Unhas de gel 
custom.lipstick,Vestir
custom.lipstick,Vestir 
custom.lipstick,skin care noturna 
custom.razor, Barba
custom.razor,Depilar o corpo
custom.razor,Se depilar
custom.shower,Banho
custom.shower,Banho 
custom.shower,Banho Para despertar
custom.shower,Banho e janta 
custom.shower,Depilar o corpo
custom.shower,Hidratar cabelo
custom.shower,Lavar louça 
custom.shower,Lavar o banheiro
custom.shower,Natação 🏊🏻‍♀️🏊🏻‍♀️
custom.shower,Preparar-te! 
custom.shower,Take a shower 
custom.shower,Tomar Banho
custom.shower,Tomar banho
custom.shower,Tomar banho 
custom.shower,Tomar banho🧼 
custom.shower,Tomar uma Ducha
custom.shower,banho
custom.shower,banho 
custom.shower,chegar em casa e tomar um banho😚
custom.shower,duche
custom.shower,tomar banho 
custom.sit,Almoço
custom.sit,Psicóloga - Alexandre
custom.toothbrush,Banho
custom.toothbrush,Escovar Dentes
custom.toothbrush,Escovar os dentes
custom.toothbrush,Escovar os dentes 
custom.toothbrush,Lavar dentes
custom.toothbrush,Rotina matinal 
custom.toothbrush,Skincare
custom.toothbrush,Vestir
custom.toothbrush,rotina da manhã 
desktopcomputer,Assistir filme/série 
desktopcomputer,Assistir serie | ficar de bobeira
desktopcomputer,Assistir webinars
desktopcomputer,Audiência 
desktopcomputer,Aula gravada
desktopcomputer,Estudar 
desktopcomputer,Serviço - Multimídia 
desktopcomputer,Trabalhar
desktopcomputer,Trabalho
desktopcomputer,Trabalho 
desktopcomputer,Wise Up
desktopcomputer,curso: projetando sua carreira
doc.fill,Atualizar noticias / emails
doc.fill,Braga- uber juan 
doc.fill,Conversar com Vanessa 
doc.fill,Embalar Vinted
doc.fill,Estudar para escola + trabalho
doc.fill,copiar cadernos
doc.richtext,Currículo
dollarsign.circle.fill,Comprar mealheiro 
dollarsign.circle.fill,J. F. Acerto Egleuson 
dollarsign.circle.fill,J. F. Pagar DARF
dollarsign.circle.fill,Transferência PIB
dollarsign.circle.fill,USJT - Mensalidade
drop.fill,Beber água
drop.fill,Beber água 
drop.fill,Dádiva de sangue
drop.fill,Lavar alface para guardar e cortar salsa para congelar 
drop.fill,Lavar louça 
ear,Notion 
exclamationmark.triangle.fill,Tomar griponal e vitamina
eyedropper,Reparador de pontas 
eyedropper,Skin care
eyedropper,Skin care 
figure.walk,Caminhada
figure.walk,Caminhada até o processo seletivo
figure.walk,Caminhar
figure.walk,ETAM
figure.walk,Exercícios - Caminhada
figure.walk,Giraldo
figure.walk,Me alongar 
figure.walk,Natação 
figure.walk,Papelaria
figure.walk,Passear lá fora
figure.walk,Treinar
figure.walk,passeio cães 
figure.wave,Alongar
figure.wave,Igreja
figure.wave,Processo seletivo
flame.fill,Meditação solar
folder.fill,Arrumar o Material
folder.fill,Organizar o escritório 
gamecontroller.fill,Descansar 
gamecontroller.fill,Jogar Sky
gamecontroller.fill,Leitura ou jogos
gearshape.2.fill,Ajuda Hilson
gift.fill,Kits clientes da semana 
