label,text
alarm.fill,God morgon!
alarm.fill,Gå upp
alarm.fill,Vakna
alarm.fill,Wake up!
archivebox.fill,Sortera kläder
atom,No/Tk dush + rapport
atom,plugga / matte & No 
bag.fill,Packa idrottskläder
bag.fill,Packa till rörö
bed.double.fill,Bädda sängen
bed.double.fill,Lägga mig
bed.double.fill,Läggdags
bed.double.fill,Städa rummet
bolt.fill,Städa garderob
book.fill,Bedöm restuppgifter L6hk20
book.fill,Göra klart svenskan
book.fill,Lektion
book.fill,Läsa
book.fill,Läsa 
book.fill,Läsa kurslitteratur 
book.fill,Läshänvisningar 
book.fill,Matte
book.fill,No Läxförhör 
book.fill,Packa väskan
book.fill,Plugga
book.fill,Plugga kemi
book.fill,Plugga på projektet
book.fill,Plugga på projektet 💻
book.fill,Plugga x4
book.fill,Skola
book.fill,Skriv några rader om per
book.fill,Skriv packlista
book.fill,Skriva i boken
book.fill,Spanska 
book.fill,plugga i espresso house med elin
book.fill,sv - genomgång muntlig framställning 
briefcase.fill,"1o1: BO, Extras & first line"
briefcase.fill,Jobb
briefcase.fill,Jobba
briefcase.fill,Packa inför resan
briefcase.fill,Packa upp
briefcase.fill,Packa väska👜 (idrott)
briefcase.fill,handla med ida till hennes födelsedag 🎁 
bubble.left.fill,Möte
calendar,Anmäla skada till tre kronor 
calendar,Opo keskustelu
calendar,Skriva in schema 
camera.fill,Fota kroppen
car.fill,Köra hem
car.fill,Köra till jobb
car.fill,Sexual Continense
car.fill,Åka till fea
cart.fill,Gå och handla
cart.fill,Handla 
chart.bar.fill,Elevkåren möte
chart.pie.fill,Gör en budget
chart.pie.fill,Planera
chart.pie.fill,Svenska
clock.fill,Mio
cloud.fill,Bada
cloud.fog.fill,I säng 
comb.fill,Byta om 
comb.fill,Hår💇🏽‍♀️
comb.fill,fixa håret
creditcard.fill,Systemet
creditcard.fill,"Systemet, födelsedagskort & tights"
custom.chemistry,Human Design 
custom.cooking,Frukost 
custom.cooking,Förbereda inför maten och efterrätten 
custom.cooking,Koka kaffe
custom.cooking,Laga mat
custom.cooking,Lunch
custom.cooking,baka en sockerkaka 🍪 
custom.cooking,laga mac and cheese
custom.cooking,Äta
custom.dog,Babs mat
custom.dog,Gå ut med Nala
custom.dog,Gör mat till Rut 
custom.dog,Promenad
custom.dumbbell,Actic Praktik
custom.dumbbell,GYM
custom.dumbbell,GYM!
custom.dumbbell,GYMMA
custom.dumbbell,Gymma
custom.dumbbell,Gymmet:
custom.dumbbell,Gymträning
custom.dumbbell,Gå till gymmet 
custom.dumbbell,Löpning
custom.dumbbell,"MAGE, BEN träning"
custom.dumbbell,Träna
custom.dumbbell,Träna rygg och biceps 
custom.dumbbell,gymma💪🏼
custom.dumbbell,träningspass 
custom.language,"Sv om det går annars CDs, Bilder eller sortera "
custom.language,Svenska 3
custom.lipstick,Göra iordning mig 
custom.lipstick,Smink💄
custom.lipstick,köp nagellacksborttagning
custom.shower,Dusch
custom.shower,Duscha
custom.shower,Duscha 
custom.shower,Tvätta håret 
custom.shower,duscha
custom.shower,tvätta ansiktet
custom.toothbrush,Borsta tänder
custom.toothbrush,Borsta tänderna
custom.toothbrush,Borsta tänderna 
desktopcomputer,Gilmore girls
desktopcomputer,Jobba
desktopcomputer,Kolla på husfruarna
desktopcomputer,Kolla på tv 
desktopcomputer,Kolla tv 
desktopcomputer,Labb simulering
desktopcomputer,Repetera och förbered seminarier 
desktopcomputer,Spanska text
desktopcomputer,ta det lugnt 💓
desktopcomputer,Öva på kemifrågor 
doc.richtext,Plugga lite SO
drop.fill,Tvätta ansikte
envelope.fill,rensa mail
eyedropper,Flossa
figure.walk,Gå
figure.walk,Gå en promenad 
figure.walk,Gå till Tumba 
figure.walk,Gå till skolan 
figure.walk,Gå ut och gå eller åk skridskor
figure.wave,BOENDESTÖD KAIJA
figure.wave,Lämna på fritids
figure.wave,SKOLKYRKAN
figure.wave,Välj kläder👗
figure.wave,testa byxorna! 👖 
film.fill,Bio
flag.fill,Viktigt möte!
gamecontroller.fill,Dying light 2
globe,"Be ella, axel och jocke om sami"
guitars,Mixuppgift
hammer.fill,Skriv till John
hand.thumbsup.fill,Åk till umo 
headphones,Lyssna på isak
headphones,Skicka trust me till emilia
heart.fill,19 MARS GÄLLER DET
heart.fill,4 VECKOR
heart.fill,Freja
heart.fill,Kvällsrutin 
heart.fill,Linnea fyller år
heart.fill,PLANERA
heart.fill,Planera framtiden
heart.fill,Städa i garderoben
heart.fill,Ta det lugnt 
heart.fill,en helt ny värld väntar på dig
heart.fill,tvätta ansiktet
house.fill,Byta sopor
house.fill,Diska
house.fill,Göra klart
house.fill,Hemstudiedag
house.fill,Nattrutin
house.fill,Plugga hemma
house.fill,Städa
house.fill,Städa huset
house.fill,Ta hand om disken 
keyboard,Skapa innehåll
leaf.fill,Kräm
map.fill,Geografi 1
mdi.alcohol,Ett glas vatten 
mdi.birthday,Fira Paty
mdi.birthday,Köp present till molly
mdi.bus,Åka hem
mdi.bus,Åka till jobbet
mdi.bus,Åka till rörö 
mdi.pharmacy,Soita kirkkonummen terveysasemalle
mdi.relax,Biologi
mdi.relax,Meditera
mdi.relax,Skriv appreciation letter Ms. Kitchens :)
mdi.relax,fixa sängen
mdi.relax,gör yoga
mdi.running,Biltema 
mdi.running,Går till lärcenter
mdi.running,Jogga 
mdi.running,Plocka undan kläder
mdi.running,På systembolaget 
mdi.running,Stadium outlet
mdi.running,joggning/promenad 
mdi.school,Coachtids läxa
mdi.school,Gymnasiearbete 
mdi.school,Jobba matte och kemi
mdi.school,Ledarskap & organisation övning
mdi.school,Lektion: Munken
mdi.school,MT
mdi.school,Montera pannå
mdi.school,Naturkunskap
mdi.school,På Lärcenter 
mdi.school,Skola
mdi.school,Skola redovisning
mdi.school,Spanska 
mdi.school,Sv-tal
mdi.school,UF inlämning
mdi.school,engelska lektion
mdi.school,sh - plugga till debattartikeln
moon.fill,God natt!
moon.fill,Sleep Well!
moon.zzz.fill,Kvälls rutin 
music.note,Dans
music.note,Öva bas och fiol
newspaper.fill,Historia
noun.coffee,Frukost
noun.coffee,Gå till byvägen och plugga
noun.coffee,Kaffe
noun.coffee,Köp Frukost
noun.coffee,Lunch
noun.coffee,Mc Donalds frukost 
noun.coffee,Plugga på café
noun.coffee,Ät frukost 🥞
noun.coffee,Äta frukost
noun.coffee,Äta frukost 
noun.meal,Frukost 
noun.meal,Frukost + medicin 
noun.meal,Laga mat
noun.meal,Laga mat&äta
noun.meal,Lunch
noun.meal,Mellanmål
noun.meal,Middag
noun.meal,Snack
noun.meal,Ät frukost 
noun.meal,Äta
noun.meal,Äta Frukosten 
noun.meal,Äta frukost
noun.meal,ät kebab 🥙 
paintbrush.pointed.fill,Rita/måla
paperplane.fill,Försäkringskassan 
pencil.and.outline,CV
person.2.fill,Mat
person.3.fill,Hilma Hanna och Gustav kommer
person.3.fill,Mentorstid 
person.3.fill,Träffa Elsa
person.fill,"Byta om, packa, vila"
person.fill,KONSULTATION
person.fill,Klä på mig 
person.fill,Köp strumpbyxor 
pills.fill,Magnesium och d vitamin 
pills.fill,Medicin
pills.fill,Ta medicin 
pills.fill,Ta p-piller
pills.fill,Vitaminer
pills.fill,vitaminer 💊
pin.fill,Städa 
play.rectangle.fill,Serie
shippingbox.fill,hämta paket 📦 
shippingbox.fill,returnera zalando paket
smiley.fill,Hämta Jaz 
smiley.fill,Klä på sig
smiley.fill,Promenad
sportscourt.fill,Träning
star.fill,Belöning
star.fill,Fillers
sun.max.fill,Förbereda frukost + Lunch
sunset.fill,"Frukost, affirmations, meditation, dusch, smink. "
sunset.fill,God natt!
text.badge.checkmark,Köregestriering bostäder
text.badge.checkmark,Räkningar koll 
text.badge.checkmark,Skola
text.badge.checkmark,Skriva ner vad som ska handlas till ikväll 
text.badge.checkmark,"Sv om det går annars CDs, Bilder eller sortera "
tortoise.fill,Promenad till stan
tortoise.fill,Slappa
