label,text
alarm.fill,Get up!
alarm.fill,Прокидайся!
alarm.fill,Прокидайтеся!
bandage.fill,Укол
custom.chemistry,дз
custom.language,зробити уроки
custom.razor,прибирання✨
custom.shower,"Душ, уход"
custom.shower,Утренний уход
custom.sit,Work
custom.toothbrush,Morning Routine 
custom.toothbrush,Утренний уход
eyeglasses,Робота
flame.fill,Зарядка
gift.fill,День народження Ірми
hare.fill,"Зарядка, чай"
link,Історія(зум)
mdi.airplane.takeoff,Англ мова(зум)
mdi.relax,вечеря
mdi.school,Школа
mdi.ticket,серіал😍😍😍
moon.fill,"Сладенькая, пора спать"
noun.coffee,сніданок
noun.meal,Обід
paintbrush.pointed.fill,Закінчити початі картини
signature,алгебра дз
speedometer,Повтор історії
sun.max.fill,відпочинок
video.fill,Школа
