label,text
alarm.fill,Thức dậy 
alarm.fill,Thức dậy!
archivebox.fill,Phơi quần áo
at,Trả lời email
bag.fill,Đi mua sắm
bed.double.fill,Nghỉ ngơi
book.fill,1 đề đgnl
book.fill,Bật đầu học!
book.fill,Học bài cũ
book.fill,Học nữa
book.fill,Học thêm T.A
book.fill,Làm bài cô Hằng
book.fill,QT MAR
book.fill,Reading books
book.fill,Vẽ tranh
book.fill,học tiếng anh
book.fill,tự học 📚
book.fill,Đọc sách
briefcase.fill,School
briefcase.fill,Work
calendar,Họp
cloud.bolt.fill,Sạc pin 
custom.cat,Nghỉ giữa giờ
custom.cooking,Xào nui + ăn 🍽 
custom.dog,học sinh học 
custom.dumbbell,Thể dục
custom.dumbbell,Thể dục 
custom.dumbbell,Tập thể dục
custom.dumbbell,Tập thể dục 
custom.dumbbell,Workout 
custom.language,Anki
custom.language,Học anh
custom.language,Học từ mới qua app 
custom.language,IELTS
custom.language,Luyện nghe 
custom.language,Lí thuyết Tiếng Anh 
custom.language,học anh
custom.shower,Morning hygiene
custom.shower,Nghỉ ngơi 
custom.shower,Tắm
custom.shower,Tắm 
custom.shower,Đánh răng 
custom.sit,QT SX
custom.toothbrush,Ktra răng
custom.toothbrush,Personal hygiene
custom.toothbrush,Vệ sinh cá nhân
desktopcomputer,Coming C1
desktopcomputer,Connect
desktopcomputer,Học Lý C.H
desktopcomputer,Học online 
desktopcomputer,Lướt Facebook 
desktopcomputer,Work
doc.fill,Dạy 10A
doc.richtext,Học từ mới
dollarsign.circle.fill,Lập bảng thu chi
dollarsign.circle.fill,Mua 3 cục pin lớn cho đèn
drop.fill,Uống nước
eyeglasses,日本語
figure.walk,A203-TTCK
figure.walk,A304 - ỨDLTHT
figure.walk,B103 - E3
figure.walk,B103 - LT.TC-TT
figure.walk,Go to work
figure.wave,Đón Thuỷ
gamecontroller.fill,Chơi
gearshape.2.fill,Làm việc
gift.fill,Chuẩn bị quà nào!
globe,Làm btap TA 
headphones,"xem phim, nghe nhạc"
house.fill,Dọn dẹp bàn học
house.fill,Quét + lau nhà
magnifyingglass,Gom tất cả giày dơ đi giặt
mdi.bike,Rửa xe
mdi.relax,Đi làm bbc
mdi.running,Dọn nhà 🧹 
mdi.running,Nhắc đóng hàng sớm đi tỉnh xa
mdi.running,Oxford word skill 
mdi.running,Tập thê dục
mdi.running,Đun nước 
mdi.school,Học Luật
mdi.school,IELTS 
mdi.school,Kết thúc học!
mdi.school,Learn Japanese
mdi.school,Luyện ĐGNL
mdi.school,School
mdi.school,Thi HS giỏi
mdi.school,Ôn GPSL
moon.fill,Ngủ ngon!
moon.zzz.fill,Ngủ
moon.zzz.fill,ngủ
newspaper.fill,học văn
noun.coffee,Ăn sáng
noun.meal,Nghỉ tối
noun.meal,Nấu ăn
noun.meal,Ăn cơm buổi trưa 
noun.meal,Ăn sáng 
noun.meal,Ăn sáng (trước 8:30)
noun.meal,Ăn trưa
noun.meal,Ăn trưa 
noun.meal,Ăn tối 
noun.meal,Ăn tối ( trước 18:00)
number,Tụng kinh
paintbrush.pointed.fill,Tô tranh
pencil.and.outline,Bệnh học da liễu
pencil.and.outline,Học 
pencil.and.outline,chép lý
person.3.fill,Thảo luận
play.rectangle.fill,Chơi 
play.rectangle.fill,Coi phim hài
questionmark,Làm gì đó 
shippingbox.fill,Dọn khu đồ chơi
smiley.fill,Viết nhật ký hàng tuần nào!
star.fill,Học tiếng Hàn
sun.max.fill,Phơi + giặt đồ
sun.max.fill,Phơi đồ
sun.max.fill,Thức dậy ( trước 7:30)
sun.max.fill,Thức dậy đánh răng và tập thể dục
text.badge.checkmark,B116 - E3
text.badge.checkmark,Dọn nhà
text.badge.checkmark,Dọn tầng 5
text.badge.checkmark,Học văn
text.badge.checkmark,Lên kế hoạch 
wand.and.stars,Nails
wand.and.stars,Viết bù vở
x.squareroot,Học toán - bài tập Tết 🧧 
x.squareroot,Toán cô Thảo - Giới hạn hàm số
zzz,Nghỉ ngơi
zzz,Ngủ trưa 
