Group;Identifier;Icon;Name;;;;;;;;;;;;;;;;;;
01 Calendar;text.badge.checkmark;􀋺;Task;todo;Assignment;;;;;;Structure tomorrow;Structure my day;Complete checklist;Setup all task;;;;;;;
01 Calendar;calendar;􀉉;Calendar;Calendar;Task;todo;meeting;time;planning;planner;Go through calendar;Buy new calendar;;;;;;;;;
01 Calendar;hourglass;􀖇;Wait;hourglass;time;;;;;;Wait for mail;Wait for the train;;;;;;;;;
02 Communication;phone.fill;􀌿;Phone;Conference;Call;telephone;;;;;Call mum;Phone doctor;Charge phone;Buy new iPhone;;;;;;;
02 Communication;envelope.fill;􀍖;Mail;emails;write;answer;Send;Cc;;;Write mail to boss;Answer emails;Read emails;Buy new envelopes ;Write the letter;;;;;;
;shippingbox.fill;􀐛;Shipping Box;;;;;;;;;;;;;;;;;;
02 Communication;video.fill;􀍊;FaceTime;video;call;conference;skype;hangouts;meeting;;FaceTime with dad;Skype with Leo;;;;;;;;;
02 Communication;paperplane.fill;􀈠;Message;Telegram;message;messanger;Whatsapp;sms;Text;;Text John ;Check my texts;;;;;;;;;
02 Communication;bubble.left.fill;􀌫;Bubble;Telegram;message;messanger;Whatsapp;sms;Text;;WhatsApp my teacher;Join new WhatsApp group;Write Tom on Telegram;;;;;;;;
02 Communication;at;􀅷;Email;mail;internet;;;;;;Write mail to boss;Answer emails;Read emails;;;;;;;;
02 Communication;questionmark;􀅍;Question;Qa;Ask;;;;;;Thing of new questions;;;;;;;;;;
03 Meeting;person.fill;􀉪;Person;meeting;person;friend;College;boss;;;Do personal stuff;;;;;;;;;;
03 Meeting;person.2.fill;􀉬;Meeting;meet;Meeting;conversation;Talk;sync;;;Meet with Jane;One on One with Boss;Meeting;;;;;;;;
03 Meeting;person.3.fill;􀝋;Group;Meetup;group;event;;;;;Board Meeting;Group meeting;;;;;;;;;
04 Documents;doc.richtext;􀉅;Document;documentation;text;image;document;;;;Write document;Setup word doc;;;;;;;;;
04 Documents;folder.fill;􀈖;Folder;Organize;Organisation;documents;;;;;Organize my stuff;Sort my documents;;;;;;;;;
04 Documents;book.fill;􀉛;Book;read;reading;paper;Magazin;news;articel;Blog;Read a book;Read for 10 min;Read the newspaper;;;;;;;;
