,label,text
0,text.badge.checkmark,todo
1,text.badge.checkmark,Assignment
2,text.badge.checkmark,Structure tomorrow
3,text.badge.checkmark,Structure my day
4,text.badge.checkmark,Complete checklist
5,text.badge.checkmark,Setup all task
6,calendar,Calendar
7,calendar,Task
8,calendar,todo
9,calendar,meeting
10,calendar,time
11,calendar,planning
12,calendar,planner
13,calendar,Go through calendar
14,calendar,Buy new calendar
15,hourglass,hourglass
16,hourglass,time
17,hourglass,Wait for mail
18,hourglass,Wait for the train
19,phone.fill,Conference
20,phone.fill,Call
21,phone.fill,telephone
22,phone.fill,Call mum
23,phone.fill,Phone doctor
24,phone.fill,Charge phone
25,phone.fill,Buy new iPhone
26,envelope.fill,emails
27,envelope.fill,write
28,envelope.fill,answer
29,envelope.fill,Send
30,envelope.fill,Cc
31,envelope.fill,Write mail to boss
32,envelope.fill,Answer emails
33,envelope.fill,Read emails
34,envelope.fill,Buy new envelopes 
35,envelope.fill,Write the letter
36,video.fill,video
37,video.fill,call
38,video.fill,conference
39,video.fill,skype
40,video.fill,hangouts
41,video.fill,meeting
42,video.fill,FaceTime with dad
43,video.fill,Skype with Leo
44,paperplane.fill,Telegram
45,paperplane.fill,message
46,paperplane.fill,messanger
47,paperplane.fill,Whatsapp
48,paperplane.fill,sms
49,paperplane.fill,Text
50,paperplane.fill,Text John 
51,paperplane.fill,Check my texts
52,bubble.left.fill,Telegram
53,bubble.left.fill,message
54,bubble.left.fill,messanger
55,bubble.left.fill,Whatsapp
56,bubble.left.fill,sms
57,bubble.left.fill,Text
58,bubble.left.fill,WhatsApp my teacher
59,bubble.left.fill,Join new WhatsApp group
60,bubble.left.fill,Write Tom on Telegram
61,at,mail
62,at,internet
63,at,Write mail to boss
64,at,Answer emails
65,at,Read emails
66,questionmark,Qa
67,questionmark,Ask
68,questionmark,Thing of new questions
69,person.fill,meeting
70,person.fill,person
71,person.fill,friend
72,person.fill,College
73,person.fill,boss
74,person.fill,Do personal stuff
75,person.2.fill,meet
76,person.2.fill,Meeting
77,person.2.fill,conversation
78,person.2.fill,Talk
79,person.2.fill,sync
80,person.2.fill,Meet with Jane
81,person.2.fill,One on One with Boss
82,person.2.fill,Meeting
83,person.3.fill,Meetup
84,person.3.fill,group
85,person.3.fill,event
86,person.3.fill,Board Meeting
87,person.3.fill,Group meeting
88,doc.richtext,documentation
89,doc.richtext,text
90,doc.richtext,image
91,doc.richtext,document
92,doc.richtext,Write document
93,doc.richtext,Setup word doc
94,folder.fill,Organize
95,folder.fill,Organisation
96,folder.fill,documents
97,folder.fill,Organize my stuff
98,folder.fill,Sort my documents
99,book.fill,read
100,book.fill,reading
101,book.fill,paper
102,book.fill,Magazin
103,book.fill,news
104,book.fill,articel
105,book.fill,Blog
106,book.fill,Read a book
107,book.fill,Read for 10 min
108,book.fill,Read the newspaper
109,doc.fill,computer
110,doc.fill,document
111,doc.fill,Edit
112,pencil.and.outline,essay
113,pencil.and.outline,draw
114,pencil.and.outline,journal
115,pencil.and.outline,drawing
116,pencil.and.outline,art
117,pencil.and.outline,sketch
118,signature,sign
119,signature,contract
120,mdi.running,run
121,mdi.running,runner
122,mdi.running,Jogging
123,mdi.running,sport
124,flame.fill,Exercise
125,flame.fill,Workout
126,flame.fill,burn
127,flame.fill,HIIT
128,flame.fill,hot
129,flame.fill,fire
130,custom.ball,football
131,custom.ball,soccer
132,sportscourt.fill,football
133,sportscourt.fill,soccer
134,sportscourt.fill,basketball
135,custom.cat,Cat
136,custom.cat,Animal
137,custom.cat,Pet
138,custom.dog,dog
139,custom.dog,Animal
140,custom.dog,Pet
141,cart.fill,groceries 
142,cart.fill,errands 
143,cart.fill,food
144,cart.fill,buy
145,cart.fill,store
146,bag.fill,shopping
147,bag.fill,buy
148,bag.fill,shop
149,mdi.couch,Relax
150,mdi.couch,weekend
151,mdi.couch,Chill
152,lightbulb.fill,Light
153,lightbulb.fill,bulb
154,trash.fill,garbage
155,trash.fill,cleanup
156,trash.fill,throw
157,trash.fill,away
158,trash.fill,Recycling
159,trash.fill,Recycle
160,trash.fill,clean
161,trash.fill,bin
162,house.fill,home
163,house.fill,come
164,house.fill,leave
165,noun.coffee,coffee
166,noun.coffee,Breakfast
167,noun.coffee,Cafe
168,noun.coffee,morning
169,noun.coffee,Tee
170,noun.coffee,Cup
171,noun.meal,meal
172,noun.meal,dinner
173,noun.meal,lunch
174,noun.meal,food
175,noun.meal,brunch
176,noun.meal,Cook
177,custom.cooking,chef
178,lock.fill,lock
179,lock.fill,Leave
180,lock.fill,secure
181,lock.open.fill,unlock
182,lock.open.fill,gate
183,lock.open.fill,open
184,arrow.3.trianglepath,Recycle 
185,bed.double.fill,bed
186,bed.double.fill,sleep
187,bed.double.fill,night
188,bed.double.fill,rest
189,mdi.buggy,baby
190,mdi.buggy,child
191,custom.shower,Clean
192,custom.toothbrush,Brush my teeth
193,custom.toothbrush,Brush teeth
194,custom.toothbrush,tooth
195,custom.hairdryer,hairdryer
196,custom.hairdryer,Wet
197,custom.lipstick,Lipstick
198,custom.razor,Beard
199,custom.razor,Shave
200,mustache.fill,Shave
201,comb.fill,comb
202,comb.fill,hair
203,alarm.fill,wake
204,alarm.fill,morning
205,alarm.fill,set
206,clock.fill,time
207,stopwatch.fill,time
208,printer.fill,print
209,briefcase.fill,Business
210,desktopcomputer,work
211,desktopcomputer,computer
212,desktopcomputer,pc
213,desktopcomputer,Mac
214,chart.bar.fill,data
215,chart.bar.fill,Analyse
216,chart.bar.fill,chart
217,chart.bar.fill,bar
218,chart.pie.fill,Chart
219,chart.pie.fill,pie
220,mdi.school,homework
221,mdi.school,college
222,mdi.school,University
223,mdi.school,uni
224,mdi.school,study
225,mdi.school,exam
226,custom.language,Language
227,chevron.left.slash.chevron.right,programming
228,chevron.left.slash.chevron.right,coding
229,x.squareroot,solve
230,x.squareroot,formular
231,x.squareroot,homework
232,play.rectangle.fill,movie
233,play.rectangle.fill,YouTube
234,play.rectangle.fill,netflix
235,play.rectangle.fill,film
236,play.rectangle.fill,cinema
237,tv.fill,watch
238,tv.fill,netflix
239,tv.fill,movie
240,tv.fill,show
241,film.fill,movie
242,gamecontroller.fill,games
243,gamecontroller.fill,play
244,gamecontroller.fill,video
245,gamecontroller.fill,shooter
246,car.fill,drive
247,car.fill,traffic
248,speedometer,Fast
249,tram.fill,ticket
250,mdi.subway,Metro
251,mdi.subway,underground
252,mdi.bike,ride
253,mdi.bike,Bicycle 
254,mdi.bus,couch
255,mdi.ev.station,Tesla
256,mdi.ev.station,charge
257,mdi.ev.station,Ev
258,mdi.ev.station,electric
259,mdi.gas.station,gas
260,mdi.gas.station,Station
261,mdi.gas.station,car
262,mdi.gas.station,refuel
263,mdi.gas.station,Empty
264,mdi.gas.station,petrol
265,mdi.wheelchair,Accesible
266,airplane,Flight 
267,airplane,fly
268,airplane,plane
269,airplane,holiday
270,hare.fill,Rabbit
271,mdi.alcohol,drinks
272,mdi.alcohol,beer
273,mdi.alcohol,wine
274,mdi.alcohol,cocktail
275,noun.party,Party
276,noun.party,Club
277,noun.party,Clubbing
278,noun.party,Disco 
279,gift.fill,present
280,gift.fill,birthday
281,gift.fill,wedding
282,mdi.birthday,Congratule
283,mdi.birthday,Happy
284,mdi.birthday,present
285,mdi.birthday,Gift
286,mdi.relax,Relax
287,mdi.relax,treat
288,mdi.relax,yogo
289,mdi.relax,Mediation
290,mdi.ticket,Play
291,mdi.ticket,cinema
292,mdi.ticket,night
293,mdi.ticket,event
294,sun.max.fill,weather
295,sun.max.fill,sun
296,sun.max.fill,Sunscreen
297,sun.max.fill,Warm
298,sun.max.fill,nice
299,sun.max.fill,light
300,sun.max.fill,bright
301,sunrise.fill,morning
302,sunrise.fill,wake
303,sunset.fill,bed
304,sunset.fill,night
305,sunset.fill,sleep
306,moon.zzz.fill,sleep
307,moon.zzz.fill,recharge
308,moon.zzz.fill,rest
309,moon.zzz.fill,nap
310,zzz,sleep
311,zzz,tiered
312,zzz,rest
313,cloud.drizzle.fill,jacket
314,cloud.drizzle.fill,windows
315,cloud.drizzle.fill,water
316,cloud.fill,cloudy
317,moon.fill,night
318,moon.fill,Sky
319,cloud.fog.fill,mist
320,cloud.snow.fill,skiing
321,cloud.snow.fill,winter
322,cloud.snow.fill,Snowman
323,cloud.snow.fill,freezing
324,cloud.bolt.fill,thunderstorm
325,cloud.bolt.fill,thunder
326,cloud.bolt.fill,lightning
327,thermometer,Jumper
328,thermometer,cold
329,thermometer,warm
330,thermometer,hot
331,thermometer,freezing
332,wind,Storm
333,wind,Dragon
334,umbrella.fill,rain
335,umbrella.fill,snow
336,mdi.mountain,hill
337,mdi.mountain,Climbing
338,mdi.mountain,outdoor
339,creditcard.fill,credit
340,creditcard.fill,subscription
341,dollarsign.circle.fill,Finance
342,dollarsign.circle.fill,dollar
343,dollarsign.circle.fill,euro
344,dollarsign.circle.fill,pounds
345,dollarsign.circle.fill,pay
346,dollarsign.circle.fill,salary
347,dollarsign.circle.fill,bill
348,bitcoinsign.circle.fill,Bitcoin
349,bitcoinsign.circle.fill,crypto
350,scissors,cut
351,paintbrush.fill,paint
352,paintbrush.fill,painting
353,wrench.fill,repair
354,wrench.fill,fix
355,hammer.fill,repair
356,hammer.fill,fix
357,link,website
358,link,web
359,bookmark.fill,save
360,paperclip,Taxes
361,paperclip,office
362,globe,Internet
363,globe,world
364,globe,travel
365,globe,voyage
366,number,tweet
367,number,twitter
368,icloud.and.arrow.up.fill,cloud
369,icloud.and.arrow.up.fill,send
370,power,power
371,power,detox
372,power,digital
373,keyboard,type
374,keyboard,typing
375,bolt.fill,energie
376,bolt.fill,power
377,flashlight.on.fill,light
378,wifi,internet
379,safari.fill,browse
380,safari.fill,safari
381,battery.25,charge
382,battery.25,phone
383,battery.25,Empty
384,battery.25,charger
385,ant.fill,ant
386,ant.fill,error
387,ant.fill,fix
388,arrow.merge,Pull
389,arrow.merge,request
390,arrow.merge,merge
391,arrow.merge,Fork
392,camera.fill,pictures
393,camera.fill,shot
394,camera.fill,photo
395,camera.fill,image
396,photo.fill,image
397,photo.fill,print
398,music.note,Instrument
399,music.note,listen
400,music.note,song
401,music.note,Tune
402,music.note,band
403,music.mic,song
404,music.mic,sing
405,music.mic,voice
406,music.mic,Karaoke
407,tuningfork,Instrument
408,tuningfork,tune
409,tuningfork,fork
410,pianokeys,Music
411,mic.fill,Podcast
412,mic.fill,Micophone
413,mic.fill,record
414,hifispeaker.fill,Hifi
415,hifispeaker.fill,music
416,hifispeaker.fill,sound
417,bandage.fill,Injury
418,bandage.fill,recover
419,eyedropper,Eye
420,eyedropper,drops
421,mdi.pharmacy,Medicin 
422,mdi.pharmacy,sick
423,mdi.pharmacy,Ill
424,exclamationmark.triangle.fill,Cation
425,exclamationmark.triangle.fill,hot
426,xmark.octagon.fill,mistake
427,burn,caution
428,burn,Death
429,heart.fill,love
430,heart.fill,like
431,flag.fill,deadline
432,flag.fill,Finish
433,flag.fill,goal
434,bell.fill,Notification
435,smiley.fill,Happy
436,smiley.fill,positive
437,shield.fill,protect
438,wand.and.stars,wand
439,wand.and.stars,Harry
440,wand.and.stars,potter
441,map.fill,location
442,map.fill,Travel
443,map.fill,Holiday
444,ear,listen
445,hand.raised.fill,highfive
446,hand.thumbsup.fill,Praise
447,hand.thumbsup.fill,positive
448,hand.thumbsdown.fill,negtive
449,hand.thumbsdown.fill,Disappointment
450,eyeglasses,eye
